Fiscal Year 2010,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Guinea-Bissau,3,4,0,1,59,10,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,5,27,0,8,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,134
Kenya,74,649,5,147,"11,592",301,0,0,37,64,1,6,5,0,0,3,0,0,0,"1,184",39,0,35,268,0,539,17,0,259,0,0,0,0,4,76,11,364,44,90,15,11,4,17,24,14,0,0,0,1,0,0,0,0,0,0,0,8,3,0,52,0,31,4,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"16,029",0,"16,029"
Lesotho,8,8,1,19,156,0,0,0,17,0,0,1,0,0,0,0,0,0,0,8,0,0,4,18,0,8,2,0,4,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,275
Liberia,25,258,0,14,"1,136",20,0,0,17,0,0,1,2,0,0,0,0,0,0,66,0,0,7,36,0,52,0,0,5,0,0,0,0,0,0,6,76,0,49,17,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1,809",0,"1,809"
Libya,98,80,0,4,"2,624",12,0,0,0,0,0,0,41,0,0,0,0,0,0,"1,352","1,129",0,122,89,0,22,0,0,5,0,0,0,0,1,4,3,213,95,20,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,922",0,"5,922"
Madagascar,31,40,0,9,658,1,0,0,60,0,0,9,136,0,0,0,0,0,0,44,3,0,41,26,0,111,4,0,13,0,0,0,0,0,6,0,38,7,4,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,248",0,"1,248"
Malawi,30,128,0,129,465,16,0,0,25,1,0,49,0,0,0,0,0,0,0,51,14,0,24,133,0,63,2,0,9,0,0,0,0,0,1,4,51,0,2,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,215",0,"1,215"
Mali,19,89,0,180,"1,286",427,0,0,5,1,0,0,0,0,0,0,0,0,0,328,5,0,5,28,0,60,1,0,14,0,0,0,0,0,3,6,90,15,11,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2,624",0,"2,624"
Mauritania,34,120,0,2,799,0,0,0,2,0,0,5,2,0,0,0,0,0,0,41,1,0,14,51,0,41,0,0,2,0,0,0,0,0,2,3,46,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,172",0,"1,172"
Mauritius,4,32,0,4,"1,331",134,0,0,3,473,0,1,0,0,0,0,0,0,0,58,2,0,4,16,0,51,3,0,26,0,0,0,0,0,6,0,33,4,2,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,204",0,"2,204"
Morocco,32,"1,169",29,87,"13,014",26,0,0,6,327,0,0,36,0,0,6,0,0,0,682,6,0,33,98,0,93,16,0,68,0,0,0,0,0,15,21,473,29,246,1,78,5,20,14,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,19,0,8,5,67,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,740",0,"16,740"
Mozambique,31,60,1,8,695,2,0,0,18,0,0,1,0,0,0,0,0,0,0,38,1,0,21,92,0,63,1,0,1,0,0,0,0,0,0,12,75,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,138",0,"1,138"
Namibia,23,90,3,1,642,1,0,0,10,29,0,0,0,0,0,0,0,0,0,30,0,0,35,74,0,26,0,0,6,0,0,1,0,1,4,2,53,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,047",0,"1,047"
Niger,21,26,0,39,548,19,0,0,2,0,0,0,0,0,0,0,0,0,0,89,1,0,37,69,0,55,1,0,8,0,0,0,0,0,1,3,44,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,0,978
Nigeria,220,"1,625",21,667,"47,065","6,483",0,0,52,104,0,35,2,0,0,0,0,0,0,"3,635",227,0,114,484,0,422,6,0,517,0,1,0,0,8,219,123,708,84,582,47,103,10,135,218,127,0,0,0,0,0,0,0,0,0,0,0,7,12,0,16,0,83,2,0,0,0,95,10,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,"64,279",0,"64,279"
Rwanda,9,202,2,253,422,188,0,0,25,1,3,56,0,0,0,0,0,0,0,314,6,0,4,17,0,54,2,0,10,0,0,0,0,0,5,4,84,10,11,0,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,"1,701",0,"1,701"
Sao Tome and Principe,7,28,2,1,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,78
Senegal,56,199,2,45,"3,347",36,0,0,6,0,3,16,6,0,0,0,0,0,0,307,7,0,14,125,0,192,5,0,54,0,0,0,0,0,18,24,195,11,28,7,4,2,4,7,2,0,0,0,0,0,0,0,0,0,0,0,4,9,0,18,0,30,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,786",0,"4,786"
Seychelles,2,19,0,8,106,5,0,0,1,64,0,0,0,0,0,0,0,0,0,1,0,0,1,26,0,5,0,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,250
Sierra Leone,15,55,0,54,"1,192",83,0,0,3,11,1,0,0,0,0,0,0,0,0,35,8,0,18,42,0,60,2,0,6,0,0,0,0,0,0,3,40,5,87,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,765",0,"1,765"
Somalia,0,0,1,0,77,1,0,0,0,2,0,2,0,0,0,0,0,0,0,9,0,0,1,0,4,15,1,0,0,0,0,0,0,0,1,0,10,0,27,5,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,177
South Africa,57,609,3,161,"39,959",89,0,0,66,"2,316",0,63,3,0,0,10,0,3,0,675,36,0,39,237,0,210,9,0,397,0,0,"1,123","1,151",8,264,71,"2,232",72,76,13,14,3,386,344,38,0,0,0,0,0,0,0,0,0,1,0,67,11,10,93,1,70,6,33,0,0,11,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,052",0,"51,052"
Sudan,86,118,44,265,"1,799",292,0,0,1,0,0,0,0,0,1,0,0,0,0,126,9,0,68,176,0,74,0,0,13,0,0,0,0,0,6,7,56,20,25,0,15,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,217",0,"3,217"
Swaziland,11,92,2,1,280,3,0,0,8,3,0,0,0,0,0,0,0,0,0,42,0,0,5,30,0,4,0,0,2,0,0,0,0,0,0,9,18,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,518
