Fiscal Year 2010,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Lithuania,26,177,1,13,377,0,0,0,1,452,0,0,0,0,0,13,0,0,0,213,4,0,5,14,0,9,2,0,92,0,0,0,13,0,25,3,"1,292",11,25,3,1,0,7,9,3,0,0,0,12,0,0,0,0,0,0,0,14,1,5,29,0,11,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,868",0,"2,868"
Luxembourg,6,18,0,3,35,2,0,0,0,21,0,0,0,0,0,1,0,0,0,53,1,0,6,16,3,14,0,0,2,0,0,0,0,1,3,3,38,1,0,0,0,0,8,9,13,0,0,0,3,1,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,268
Macedonia,19,302,1,34,"3,076",102,0,0,3,429,0,1,0,0,0,1,0,0,0,103,2,0,3,34,0,39,1,0,31,0,0,0,0,0,2,22,"1,824",17,51,0,6,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,135",0,"6,135"
Malta,2,24,0,1,98,1,0,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0,4,4,1,6,0,0,7,0,0,0,0,0,2,3,29,2,0,0,0,0,18,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,265
Moldova,25,118,0,6,"3,149",21,0,0,50,19,0,0,56,0,0,3,0,0,0,255,9,0,0,11,0,54,0,0,71,0,0,23,42,2,39,3,"4,446",18,51,6,11,1,12,5,5,2,0,0,0,0,0,0,0,0,0,0,5,0,2,41,0,1,1,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,572",0,"8,572"
Monaco,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Montenegro,3,125,0,3,"1,821",10,0,0,0,"1,109",0,2,0,0,2,6,0,0,0,85,1,0,7,31,0,6,0,0,10,0,0,0,0,0,1,10,234,3,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,501",0,"3,501"
Netherlands,63,486,3,90,"1,829",12,0,0,6,"3,236",0,0,2,0,22,345,0,7,0,"1,412",23,0,34,138,9,276,3,0,405,0,0,2,10,5,166,188,"2,922",180,106,2,4,0,756,850,395,3,0,1,239,0,6,2,2,0,0,0,161,97,25,484,2,8,0,0,0,0,18,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,043",0,"15,043"
Norway,59,301,2,675,"1,396",109,0,0,1,"1,136",0,0,0,0,231,220,0,0,0,"1,792",33,0,26,166,0,97,0,0,95,0,0,0,0,4,56,163,"2,216",223,40,5,0,0,147,162,156,7,0,0,196,0,4,0,3,1,0,0,46,14,3,131,0,5,3,172,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,120",0,"10,120"
Poland,79,402,1,685,"63,624",73,0,0,384,"1,316",0,3,1,0,13,42,0,0,0,822,18,0,17,71,5,92,6,0,379,0,0,2,46,12,163,150,"3,851",178,145,20,7,3,202,171,42,1,0,0,325,0,11,2,17,0,0,0,70,36,9,355,0,44,2,1,0,0,52,12,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,"73,968",0,"73,968"
Portugal,36,136,5,137,763,52,0,0,114,893,0,11,2,0,1,7,0,0,0,558,25,0,12,82,14,83,0,0,187,0,0,0,3,1,46,30,711,58,20,0,1,0,213,122,50,1,0,1,121,0,2,1,2,0,0,0,38,35,12,42,0,12,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,652",0,"4,652"
Romania,59,206,4,310,"20,907",120,0,0,61,"4,187",0,4,1,0,0,18,0,1,0,449,33,0,26,87,2,96,4,0,415,0,0,206,295,5,140,82,"3,060",75,216,22,30,3,141,70,7,0,0,0,156,1,3,0,2,0,0,0,37,1,7,54,0,11,10,11,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,647",0,"31,647"
Russia,343,"2,409",0,281,"120,017",402,0,0,81,"14,303",0,10,30,0,6,8,0,1,0,"4,505",162,0,305,425,0,731,3,0,692,0,0,0,8,27,478,535,"25,118",247,778,227,32,9,394,408,36,2,0,0,1,0,0,0,0,0,0,0,179,5,40,"1,872",0,418,56,2,0,0,41,4,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0,"175,644",0,"175,644"
San Marino,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
Serbia  ,25,190,0,12,"10,263",21,0,0,15,"1,646",0,4,0,0,0,1,0,0,0,643,15,0,16,33,0,75,0,0,212,0,0,0,140,1,44,47,"2,341",18,49,2,8,0,50,35,1,0,0,0,0,0,0,0,0,0,0,0,36,2,7,34,0,57,16,0,0,0,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,070",,"16,070"
Serbia and Montenegro,0,12,0,3,830,8,0,0,1,64,0,3,0,0,0,0,0,0,0,11,0,0,0,2,0,10,0,0,22,0,0,0,0,0,0,6,28,2,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,021",0,"1,021"
Slovakia,19,158,0,18,742,1,0,0,1,460,0,0,2,0,1,12,0,0,0,380,4,0,5,50,2,30,1,0,101,0,0,0,11,2,26,21,"2,250",33,25,3,4,0,66,57,4,0,0,4,15,1,2,0,0,0,0,0,16,1,1,41,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,579",0,"4,579"
Slovenia,13,32,1,114,70,0,0,0,0,156,0,1,1,0,2,10,0,0,0,80,1,0,6,32,5,9,1,0,17,0,0,0,11,0,8,10,187,11,7,0,1,0,11,19,5,0,0,4,73,0,2,2,0,0,0,0,11,2,3,12,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,933
Spain,94,553,3,520,"2,833",99,0,0,14,"1,569",0,17,2,0,29,540,0,3,0,"4,306",115,0,48,177,24,586,0,0,809,0,0,0,3,13,263,327,"5,589",599,66,5,2,0,899,911,166,1,0,0,244,0,8,2,1,1,0,0,196,97,47,437,0,121,18,48,0,0,47,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,459",0,"22,459"
Sweden,51,947,6,264,896,172,0,0,11,"1,121",0,5,1,0,17,239,0,10,0,"2,482",17,0,32,111,11,208,2,0,320,0,0,0,7,4,124,180,"3,068",255,63,3,6,0,525,577,152,1,0,0,0,0,0,0,0,0,0,0,191,120,50,366,0,11,34,2,0,0,19,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,686",0,"12,686"
Switzerland,34,280,-1,121,"4,035",65,0,0,22,288,0,4,0,0,19,163,0,2,0,"3,499",32,0,27,32,1,222,1,0,234,0,0,1,3,13,89,90,"1,518",142,14,2,2,0,368,324,168,2,0,0,1,0,0,0,0,0,1,0,81,11,8,145,0,0,4,0,0,0,19,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,096",0,"12,096"
Tajikistan,11,128,0,1,638,9,0,0,0,0,0,0,0,0,0,0,0,0,0,275,7,0,13,46,0,39,0,0,13,0,0,0,0,0,14,6,645,37,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,898",0,"1,898"
Turkey,155,"1,010",3,104,"51,000",193,0,0,23,"2,823",0,95,2,0,78,219,0,1,0,"6,501",340,0,33,169,0,153,4,0,"1,421",0,0,0,36,7,473,172,"10,498",681,106,4,17,3,145,90,89,5,0,0,487,0,41,1,2,0,0,0,39,4,5,23,0,42,0,35,0,0,2,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"77,344",0,"77,344"
Turkmenistan,7,108,0,22,473,16,0,0,0,14,0,0,0,0,0,0,0,0,0,119,10,0,12,4,0,29,0,0,20,0,0,0,0,0,14,11,334,6,7,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,215",0,"1,215"
Ukraine,72,393,0,154,"20,356",787,0,0,34,"8,705",0,1,34,0,0,20,0,0,0,766,46,0,17,82,0,155,2,0,292,0,0,30,70,7,218,90,"11,144",88,827,201,21,4,91,82,20,1,0,0,0,0,0,0,0,0,0,0,48,0,11,311,1,133,23,4,0,0,18,9,0,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,0,0,"45,377",0,"45,377"
Uzbekistan,41,131,0,8,"4,289",12,0,0,15,298,0,4,0,0,0,1,0,0,0,227,29,0,9,69,0,106,0,0,64,0,0,0,0,0,44,0,517,25,65,16,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"6,018",0,"6,018"
Vatican City,7,26,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Europe,"2,700","19,638",61,"7,133","430,092","5,842",0,0,"1,118","73,209",0,473,236,0,"2,330","9,557",0,115,0,"61,553","1,612",0,"1,272","3,550",291,"8,034",70,0,"16,941",0,4,325,"1,830",297,"6,200","6,434","178,031","6,653","5,296",720,320,46,"17,610","15,937","3,700",59,0,21,"5,523",6,238,88,516,2,2,0,"4,866","2,107",971,"11,438",78,"1,995",302,970,0,0,641,185,0,0,0,0,97,0,0,2,1,0,6,1,6,0,0,0,0,0,"919,351",0,"919,351"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,11,22,0,5,"1,915",512,0,0,3,9,0,4,0,0,0,0,0,0,0,69,0,0,0,0,0,6,0,0,12,0,0,0,1,0,3,0,14,0,1,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,601",0,"2,601"
"Bahamas, The",32,95,1,10,"10,675",6,0,0,7,145,0,29,7,0,0,0,0,0,0,"1,038",21,0,0,1,0,19,0,0,140,0,1,0,0,0,17,0,44,7,7,0,0,0,20,15,75,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,428",0,"12,428"
Barbados,13,63,0,9,"7,541","1,580",0,0,30,21,0,13,0,0,0,0,0,0,0,150,5,0,2,1,0,37,0,0,51,0,0,0,0,0,6,0,53,2,5,0,1,0,5,2,9,0,0,0,0,0,0,0,0,0,0,0,5,1,2,16,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,631",0,"9,631"
Belize,13,65,0,15,"3,543",5,0,0,217,7,0,167,0,0,0,1,0,0,0,119,2,0,0,1,0,9,0,0,27,0,1,3,130,0,6,0,43,3,7,4,3,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,"4,420",0,"4,420"
Canada,267,110,0,10,128,2,0,0,2,28,0,0,3,0,138,"1,115",0,13,0,180,11,0,31,17,0,707,0,0,39,0,0,0,0,3,60,28,65,32,734,60,75,11,60,108,4,3,0,1,658,0,5,0,15,0,1,0,10,11,0,33,0,1,1,0,0,0,8,3,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,832",0,"4,832"
Costa Rica,65,209,3,28,"40,914",31,0,0,248,260,0,65,0,0,13,5,0,2,0,447,17,0,18,5,0,115,8,0,150,0,0,70,308,22,93,31,444,36,92,35,17,10,161,104,16,1,0,0,0,0,0,0,0,0,0,0,4,1,4,9,0,0,4,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,"44,075",0,"44,075"
Cuba,99,45,0,827,"2,351","18,745",0,0,14,5,0,0,3,0,0,2,0,0,0,23,0,0,84,68,0,59,0,0,2,0,0,0,0,0,0,20,33,2,207,35,5,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,12,9,2,268,0,180,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,114",0,"23,114"
Dominica,6,17,0,16,"1,389",256,0,0,6,95,0,9,0,0,0,0,0,0,0,94,0,0,3,0,0,10,1,0,27,0,0,0,0,0,4,0,13,0,9,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,993",0,"1,993"
Dominican Republic,65,477,13,"1,305","56,411","3,079",0,0,317,453,0,84,6,0,0,4,0,0,0,632,12,0,24,14,0,65,10,0,145,0,0,14,179,4,90,177,836,32,"1,058",289,148,81,64,87,17,0,0,0,0,0,0,0,0,0,0,0,28,8,7,"1,699",0,13,101,0,0,0,29,8,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,"68,102",0,"68,102"
El Salvador,81,466,5,"1,112","17,993","4,373",0,0,282,294,1,173,0,0,1,0,0,0,0,318,2,0,22,20,3,66,2,0,78,0,0,42,443,7,40,36,235,15,117,35,16,7,27,26,5,3,0,0,0,0,0,0,0,0,0,0,5,0,7,106,0,51,5,0,0,0,18,1,0,0,0,0,0,0,0,22,0,0,0,4,75,2,0,0,0,0,"26,642",0,"26,642"
Grenada,3,42,0,2,"1,989",349,0,0,10,35,0,10,0,0,0,0,0,0,0,90,5,0,1,3,0,11,1,0,35,0,0,0,1,0,4,0,21,2,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"2,626",0,"2,626"
Guatemala,47,304,10,269,"46,021",85,0,0,82,266,0,191,2,0,0,0,0,0,0,407,14,0,6,13,0,92,8,0,70,0,0,660,"2,850",1,40,25,305,22,100,22,33,8,46,82,22,0,0,0,0,0,0,0,0,0,0,0,7,1,4,104,0,2,0,0,0,0,26,13,0,0,0,0,1,0,0,3,1,3,3,8,95,0,4,0,0,0,"52,378",0,"52,378"
Haiti,62,59,3,134,"20,593",190,0,0,383,265,0,144,0,0,0,0,0,0,0,432,10,0,16,13,0,55,4,0,22,0,0,2,0,2,6,57,161,6,899,178,33,14,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,172,0,0,0,0,11,4,0,0,0,0,1,0,1,5,0,0,0,0,4,0,0,0,0,0,"23,970",0,"23,970"
Honduras,158,183,8,196,"21,539","5,495",0,0,144,"1,268",0,45,5,0,3,10,0,0,0,475,15,0,13,5,0,81,6,0,89,0,0,20,317,0,29,29,147,12,105,34,29,16,33,52,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,5,1,1,0,0,14,6,0,0,0,0,0,0,0,16,2,2,4,0,29,1,0,0,0,0,"30,753",0,"30,753"
Jamaica,32,179,5,123,"31,145",64,0,0,220,"1,490",0,151,4,0,0,3,0,0,0,"1,046",51,0,5,4,0,87,2,0,386,0,14,0,"3,469",0,160,23,"3,507",26,340,77,28,13,31,24,19,0,0,0,0,0,0,0,0,0,0,0,21,79,3,167,0,158,1,0,0,0,3,2,0,0,0,0,1,0,1,1,0,0,0,0,6,0,0,0,0,0,"43,171",0,"43,171"
Mexico,585,"2,411",29,"5,150","14,546","3,079","563,494","408,392",625,"2,904",1,28,30,0,593,"1,371",0,1,0,"7,158",649,887,110,38,0,763,18,0,"2,494",0,1,"52,317","33,375",120,"2,124",858,"6,322",477,"1,586",274,713,176,"1,976","2,748",264,31,1,0,4,0,0,1,0,0,2,0,385,584,129,"4,183",1,97,68,150,0,0,414,101,0,0,0,"3,376","2,073",0,0,9,2,2,36,11,121,5,5,0,0,0,"1,130,478",0,"1,130,478"
Nicaragua,26,192,8,416,"10,376",35,0,0,501,470,0,83,0,0,0,0,0,0,0,167,7,0,6,27,0,53,9,0,49,0,0,194,53,2,6,29,191,8,133,28,28,7,7,11,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,84,0,0,3,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,3,0,17,0,1,0,0,0,"13,243",0,"13,243"
Panama,44,460,4,403,"22,766",37,0,0,215,738,0,179,0,0,1,13,0,2,0,541,6,0,17,34,1,53,1,0,114,0,1,1,32,0,27,28,295,8,46,13,13,5,29,32,26,0,0,0,0,0,0,0,0,0,0,0,5,0,1,78,0,0,6,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,284",0,"26,284"
Saint Kitts and Nevis,6,19,0,37,"1,321",330,0,0,2,1,0,22,0,0,0,0,0,0,0,95,7,0,2,1,0,2,0,0,14,0,0,0,0,0,0,0,9,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,873",0,"1,873"
Saint Lucia,5,26,0,38,"2,889",534,0,0,23,203,0,20,0,0,0,0,0,0,0,184,2,0,1,1,0,9,0,0,16,0,0,0,0,0,10,0,20,2,9,3,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"4,007",0,"4,007"
Saint Vincent and the Grenadines,3,30,0,25,"1,741",298,0,0,6,201,0,12,0,0,0,0,0,0,0,39,3,0,1,0,0,2,0,0,12,0,0,0,0,0,0,0,9,3,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"2,405",0,"2,405"
Trinidad and Tobago,49,168,0,18,"21,446",31,0,0,120,332,0,54,1,0,0,6,0,1,0,576,8,0,11,20,0,153,0,0,259,0,0,0,0,2,60,9,141,23,43,5,7,2,97,97,30,0,0,0,0,0,0,0,0,0,0,0,12,31,0,131,0,71,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"24,023",0,"24,023"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for North America,"1,672","5,642",89,"10,148","339,232","39,116","563,494","408,392","3,457","9,490",2,"1,483",61,0,749,"2,530",0,19,0,"14,280",847,887,373,286,4,"2,454",70,0,"4,231",0,18,"53,323","41,158",163,"2,785","1,350","12,908",719,"5,508","1,094","1,152",353,"2,568","3,397",527,38,1,1,662,0,5,1,15,0,3,0,503,727,160,"7,031",2,789,194,152,0,0,556,145,0,0,0,"3,392","2,105",0,2,58,5,7,47,24,374,9,10,0,0,0,"1,553,049",0,"1,553,049"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,104,"3,838",1,116,"8,282",46,0,0,31,"2,338",0,437,3,0,24,312,"2,175","1,316",782,"1,737",85,0,25,71,0,297,1,0,495,0,0,23,189,10,250,390,"5,163",276,268,15,19,0,"1,209","1,207",138,25,0,0,3,0,0,0,0,0,0,0,467,103,69,612,18,18,38,3,0,0,63,17,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,"33,114",0,"33,114"
Fiji,12,45,2,16,"2,540",39,0,0,506,83,0,25,0,0,0,0,0,0,0,30,3,0,4,4,0,56,1,0,6,0,0,0,0,0,4,3,16,3,16,0,7,0,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"3,468",0,"3,468"
Kiribati,2,16,0,0,33,1,0,0,27,233,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,470
Marshall Islands,3,0,0,2,40,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67
"Micronesia, Federated States of",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Nauru,0,3,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
New Zealand,42,676,0,138,"2,006",121,0,0,9,650,0,183,0,0,0,6,0,27,0,406,18,0,9,49,0,85,0,0,255,0,0,143,114,6,135,93,"1,544",81,65,0,2,0,269,212,48,4,0,0,0,0,0,0,0,0,0,0,82,21,21,148,1,3,21,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,717",0,"7,717"
Palau,7,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37
Papua New Guinea,11,110,1,3,502,9,0,0,38,0,0,13,3,0,0,0,0,0,0,27,1,0,6,41,0,10,2,0,0,0,0,0,0,0,2,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,808
Samoa,7,20,0,29,423,85,0,0,20,29,0,27,0,0,0,0,0,0,0,6,0,0,1,4,0,7,0,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,694
Solomon Islands,1,21,0,1,65,1,0,0,49,4,0,23,0,0,0,0,0,0,0,5,1,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,191
Tonga,5,95,0,5,668,59,0,0,7,12,0,12,0,0,0,0,0,0,0,11,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,35,10,16,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,006",0,"1,006"
Tuvalu,10,10,0,0,13,0,0,0,4,44,0,16,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,105
Vanuatu,0,16,0,0,22,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,4,11,0,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
