Fiscal Year 2015,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Portugal,15,82,2,70,"1,399",7,0,0,1,"1,323",0,4,1,0,0,1,34,0,0,1,0,523,26,0,14,62,5,59,2,188,0,0,0,9,0,48,65,752,63,33,3,0,0,279,228,37,0,0,4,74,0,0,0,1,0,0,0,71,60,22,107,0,14,5,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"5,704",0,"5,704"
Romania,66,277,4,"1,124","30,599",29,0,0,62,"6,516",0,6,0,0,2,0,47,0,0,6,0,418,32,0,27,145,6,117,3,227,0,0,190,361,6,88,40,"5,886",55,196,20,3,1,238,154,6,0,0,1,161,0,3,0,4,0,0,0,52,4,17,40,0,88,4,0,6,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"47,352",0,"47,352"
Russia,297,"1,576",2,489,"122,147",146,0,0,103,"16,300",0,19,8,0,13,1,21,4,0,4,0,"4,987",303,0,310,462,0,692,2,690,0,0,0,7,15,539,434,"4,182",300,577,105,1,0,"1,088","1,145",54,5,0,0,0,0,0,0,0,0,0,0,365,20,108,"1,976",1,210,74,0,89,12,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,"159,896",0,"159,896"
San Marino,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
Serbia  ,17,99,0,116,"11,822",221,0,0,20,"1,753",0,0,0,0,0,0,13,0,0,2,0,734,9,0,11,51,0,60,2,193,0,0,0,177,2,54,38,"3,589",31,72,8,0,0,81,54,5,0,0,0,0,0,0,0,0,0,0,0,82,2,10,23,2,43,5,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"19,411",0,"19,411"
Slovakia,13,127,1,16,688,1,0,0,1,338,0,0,0,0,0,0,44,0,0,0,0,307,5,0,9,42,3,17,0,68,0,0,0,46,2,24,10,"3,377",30,23,1,0,0,132,115,4,3,0,0,84,0,1,0,1,0,0,0,32,1,1,39,0,4,5,1,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"5,632",0,"5,632"
Slovenia,10,12,0,23,471,0,0,0,0,119,0,0,0,0,0,1,28,0,0,0,0,150,9,0,9,34,5,15,0,29,0,0,0,5,1,11,18,253,27,4,0,0,0,34,19,4,0,0,0,31,0,1,0,0,0,0,0,19,4,1,69,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,430",0,"1,430"
Spain,91,481,4,51,"4,371",54,0,0,7,"2,102",0,11,0,0,1,89,"1,946",0,0,5,0,"4,372",126,0,49,125,28,556,10,891,0,0,2,58,14,301,308,"8,852","1,154",143,5,1,0,"1,328","1,352",103,1,0,1,167,0,9,0,1,0,0,0,475,115,143,365,0,152,29,33,47,22,0,0,0,0,27,0,0,0,0,0,0,2,0,0,0,0,"30,580",0,"30,580"
Sweden,55,883,4,220,"1,140",174,0,0,5,733,0,2,0,0,1,23,591,0,0,11,0,"2,385",34,0,33,131,15,130,1,221,0,0,1,16,8,92,172,"2,941",272,89,1,1,0,607,630,162,8,0,0,1,0,0,0,0,0,0,0,281,139,76,384,1,14,13,0,19,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"12,733",0,"12,733"
Switzerland,33,391,1,186,"2,490",24,0,0,3,741,0,5,0,0,0,7,201,0,0,1,0,"3,361",38,0,29,11,1,146,0,176,0,0,2,3,6,78,194,"1,575",150,31,3,1,3,410,364,205,21,0,0,0,0,0,0,0,0,0,0,125,20,35,186,0,3,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"11,282",0,"11,282"
Tajikistan,18,106,0,1,"1,148",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,129,11,0,24,44,0,78,0,12,0,0,0,0,0,8,2,241,18,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,860",0,"1,860"
Turkey,189,"1,472",9,110,"78,118","1,265",0,0,20,"4,170",0,57,0,0,7,55,371,0,0,0,0,"7,018",346,0,41,410,0,108,6,902,0,0,0,75,5,327,158,"8,056",870,108,2,1,0,227,166,94,0,0,4,549,0,31,0,2,0,0,0,81,3,24,10,0,5,2,3,13,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"105,519",0,"105,519"
Turkmenistan,12,93,0,6,937,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,223,17,0,15,9,0,30,0,14,0,0,0,0,0,17,21,148,3,1,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,570",0,"1,570"
Ukraine,74,313,0,267,"52,943",930,0,0,27,"10,042",0,1,0,0,1,1,73,0,0,2,0,"1,163",85,0,35,75,0,153,2,326,0,0,106,55,4,364,76,"7,087",128,859,205,1,0,565,582,23,0,0,0,1,0,0,0,0,0,0,0,99,3,16,342,0,107,16,0,27,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,"77,203",0,"77,203"
Uzbekistan,12,199,3,16,"8,861",7,0,0,6,279,0,0,0,0,3,0,1,0,0,0,0,390,60,0,6,79,0,101,0,39,0,0,0,0,0,31,1,727,24,65,8,0,0,16,39,1,0,0,0,0,0,0,0,0,0,0,0,7,0,6,11,0,33,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,"11,043",0,"11,043"
Vatican City,6,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
