Fiscal Year 2009,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,53,159,0,"1,618","1,326","2,543",0,0,13,3,0,3,88,0,0,0,0,0,0,159,4,0,60,118,0,67,0,0,12,0,0,0,0,3,7,34,196,17,35,0,18,3,10,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,5,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"6,581",0,"6,581"
Angola,82,131,3,373,"2,501",555,0,0,15,111,0,12,8,0,0,0,0,0,0,487,44,0,41,77,0,8,0,0,5,0,0,0,0,6,1,6,39,17,1,0,0,0,40,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,632",0,"4,632"
Benin,32,58,2,7,"1,053",16,0,0,6,0,0,24,2,0,0,0,0,0,0,165,3,0,34,40,0,46,0,0,8,0,0,0,0,0,1,5,31,1,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,566",0,"1,566"
Botswana,11,81,4,9,798,7,0,0,15,13,0,0,0,0,0,0,0,0,0,91,23,0,17,22,0,18,2,0,7,0,0,0,0,0,4,2,57,12,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,226",0,"1,226"
Burkina Faso,20,30,3,6,"1,314",5,0,0,3,0,0,20,2,0,0,1,0,0,0,490,8,0,13,69,0,45,2,0,19,0,0,0,0,0,6,7,48,6,7,0,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,159",0,"2,159"
Burundi,21,17,1,3,532,6,0,0,18,0,0,11,0,0,0,0,0,0,0,72,0,0,16,54,0,117,1,0,6,0,0,0,0,0,0,2,8,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,0,892
Cameroon,49,190,2,17,"5,788",39,0,0,15,4,1,8,0,0,0,0,0,0,0,747,26,0,35,133,0,140,4,0,74,0,0,0,0,1,31,30,154,18,60,5,11,2,10,15,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,4,0,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,628",0,"7,628"
Cape Verde,5,54,0,3,"1,740",21,0,0,0,25,0,3,0,0,0,0,0,0,0,52,1,0,8,8,0,8,1,0,0,0,0,0,0,0,0,2,16,0,60,18,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,049",0,"2,049"
Central African Republic,32,27,0,1,119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,23,1,0,13,32,0,13,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,272
Chad,47,43,1,13,463,4,0,0,1,0,3,4,3,0,0,0,0,0,0,31,3,0,16,68,0,19,0,0,11,0,0,0,0,0,3,1,21,5,2,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,781
Comoros,6,9,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,15,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97
"Congo, Dem. Rep. of the (Congo Kinshasa)",19,63,0,21,"2,311",18,0,0,15,1,1,6,0,0,0,0,0,0,0,155,8,0,8,370,0,100,0,0,14,0,0,0,0,0,3,3,55,12,17,3,5,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,253",0,"3,253"
"Congo, Rep. of the (Congo Brazzaville)",54,40,0,3,894,5,0,0,6,3,0,3,1,0,0,0,0,0,0,69,1,0,49,146,0,19,0,0,2,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,320",0,"1,320"
Cote d'Ivoire,9,135,2,67,"2,312",31,0,0,21,0,0,21,0,0,0,0,0,0,0,359,5,0,36,96,2,104,14,0,23,0,0,0,0,0,7,7,70,11,31,4,9,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,415",0,"3,415"
Djibouti,20,88,0,34,429,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,5,4,0,6,1,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,608
Egypt,200,"1,488",15,196,"26,479",117,0,0,14,596,0,29,29,0,0,40,0,0,0,683,142,0,59,101,0,186,4,0,260,0,0,8,2,6,259,97,"1,622",493,176,3,90,16,101,127,99,3,0,0,0,0,0,0,0,0,0,0,14,6,12,1,0,24,1,0,0,0,31,46,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"33,881",0,"33,881"
Equatorial Guinea,21,218,13,7,387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103,3,0,22,3,0,6,0,0,1,0,0,0,0,5,2,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,800
Eritrea,5,10,12,121,447,18,0,0,1,0,0,0,1,0,0,0,0,0,0,61,3,0,0,4,0,19,0,0,4,0,0,0,0,0,0,0,9,1,41,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,773
Ethiopia,43,92,17,128,"6,420",32,0,0,69,1,0,5,490,0,2,2,0,0,0,719,70,0,32,55,0,304,7,0,61,0,0,0,0,0,19,4,112,22,419,15,139,27,4,3,8,0,0,0,0,0,0,0,0,0,0,0,10,0,3,18,0,1,0,0,0,0,9,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"9,382",0,"9,382"
Gabon,18,116,2,1,700,64,0,0,0,0,0,0,1,0,0,0,0,0,0,186,7,0,10,2,0,10,1,0,6,0,0,0,0,1,0,6,15,0,2,0,1,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,160",0,"1,160"
"Gambia, The",24,26,4,6,"1,852",1,0,0,6,0,0,0,3,0,0,0,0,0,0,149,2,0,4,84,2,53,1,0,2,0,0,0,0,0,0,2,11,0,18,5,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,269",0,"2,269"
Ghana,29,382,3,58,"12,041",46,0,0,29,160,0,0,0,0,0,0,0,0,0,836,82,0,27,90,1,206,9,0,176,0,0,0,9,2,74,36,833,35,200,7,56,4,9,6,27,0,0,0,0,0,0,0,0,0,1,0,3,0,0,12,0,39,1,0,0,0,84,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"15,618",0,"15,618"
Guinea,30,19,0,124,"1,122",34,0,0,6,0,1,2,0,0,0,0,0,0,0,41,0,0,27,47,0,24,3,0,6,0,0,0,0,0,1,7,24,1,19,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,582",0,"1,582"
Guinea-Bissau,1,3,0,0,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,45,0,12,0,0,1,0,0,0,0,0,0,0,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,134
Kenya,97,470,15,103,"12,207",80,0,0,37,137,1,8,1,0,0,1,0,0,0,"1,629",64,0,50,220,0,569,23,0,281,0,0,0,0,1,73,18,351,60,69,17,31,6,19,23,15,0,0,0,0,0,0,0,0,0,0,0,6,0,6,45,0,52,0,1,0,0,31,7,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,"16,827",0,"16,827"
Lesotho,5,26,1,20,119,10,0,0,4,0,0,2,0,0,0,0,0,0,0,11,1,0,15,15,0,11,4,0,1,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,263
Liberia,18,161,1,35,830,42,0,0,3,0,0,1,4,0,0,0,0,0,0,58,0,0,5,48,0,48,0,0,6,0,0,0,0,0,0,0,54,0,21,7,13,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,368",0,"1,368"
Libya,87,158,0,5,"1,830",7,0,0,4,0,0,2,20,0,0,0,0,0,0,674,363,0,107,318,0,23,0,0,6,0,0,0,0,3,3,4,116,37,16,1,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,806",0,"3,806"
Madagascar,19,57,0,5,517,23,0,0,54,0,0,4,237,0,0,0,0,0,0,62,8,0,30,40,42,93,5,0,9,0,0,0,0,0,2,10,37,6,5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,275",0,"1,275"
Malawi,8,88,15,57,532,10,0,0,11,4,0,22,0,0,0,0,0,0,0,68,24,0,9,97,0,51,0,0,8,0,0,0,0,0,1,6,60,15,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,092",0,"1,092"
Mali,15,56,2,94,"1,629",418,0,0,2,0,0,17,0,0,0,0,0,0,0,412,3,0,8,33,0,67,0,0,13,0,0,0,0,0,3,16,113,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,16,0,19,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,980",0,"2,980"
Mauritania,19,97,1,0,441,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,13,18,9,37,1,0,5,0,0,0,0,0,0,2,20,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,710
Mauritius,1,34,0,8,"1,259",16,0,0,7,385,0,3,1,0,0,0,0,0,0,57,1,0,11,17,0,48,1,0,30,0,0,0,1,0,9,4,40,11,4,0,0,0,8,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,968",0,"1,968"
Morocco,37,634,33,99,"11,589",388,0,0,10,456,0,0,81,0,0,6,0,0,0,604,5,0,32,90,0,97,13,0,81,0,0,0,0,1,20,30,406,36,232,3,140,3,15,14,6,0,0,0,0,0,0,0,0,0,2,1,5,1,1,12,0,101,0,74,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,"15,364",0,"15,364"
Mozambique,29,67,1,7,664,7,0,0,7,1,0,18,0,0,0,0,0,0,0,42,4,0,23,59,0,74,1,0,1,0,0,0,0,0,1,12,56,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,091",0,"1,091"
Namibia,14,78,0,1,572,4,0,0,10,34,0,2,0,0,0,0,0,0,0,36,4,0,10,47,0,16,3,0,1,0,0,9,2,2,5,0,71,4,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,944
Niger,40,43,0,66,585,37,0,0,2,0,0,4,0,0,0,0,0,0,0,95,0,0,18,43,0,67,0,0,9,0,0,0,0,0,0,0,23,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,039",0,"1,039"
Nigeria,138,"1,207",24,628,"41,391","5,220",0,0,59,68,0,56,0,0,0,0,0,0,0,"2,722",168,0,100,207,0,290,5,0,546,0,0,0,0,16,284,120,731,83,602,68,135,30,135,225,119,1,0,0,1,0,0,0,0,0,0,0,7,39,1,13,0,43,1,0,0,0,87,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,"55,581",0,"55,581"
Rwanda,3,148,3,55,727,96,0,0,20,1,0,4,0,0,0,0,0,0,0,317,6,0,13,21,0,58,3,0,7,0,0,0,0,0,0,2,47,4,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,552",0,"1,552"
Sao Tome and Principe,5,26,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65
Senegal,40,250,6,17,"3,880",67,0,0,7,1,3,18,11,0,0,0,0,0,0,256,1,0,16,85,0,150,10,0,62,0,0,0,0,0,26,24,184,5,28,4,9,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,4,17,1,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"5,208",0,"5,208"
Seychelles,0,23,0,9,75,1,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,160
Sierra Leone,7,42,1,21,"1,160",108,0,0,8,28,0,0,0,0,0,0,0,0,0,43,2,0,11,36,0,56,1,0,6,0,0,0,0,0,0,3,27,1,92,29,6,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,710",0,"1,710"
Somalia,0,0,0,6,104,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,1,0,37,0,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,237
South Africa,118,602,5,226,"37,906",74,0,0,34,"2,481",0,52,4,0,1,9,0,4,0,695,21,0,41,328,0,230,6,0,381,0,0,"1,234","1,387",7,290,69,"2,197",90,76,14,18,7,455,471,37,0,0,0,0,0,0,0,0,0,0,0,73,9,27,110,1,63,14,47,0,0,26,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"49,960",0,"49,960"
Sudan,88,140,38,324,"1,670",18,0,0,8,0,0,0,2,0,0,0,0,0,0,106,11,0,80,104,2,96,1,0,12,0,0,0,0,0,17,10,52,20,20,0,16,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,855",0,"2,855"
Swaziland,6,28,6,4,251,9,0,0,14,2,0,4,0,0,0,0,0,0,0,28,0,0,4,45,0,3,2,0,3,0,0,0,0,0,0,6,19,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,442
Tanzania,49,394,2,43,"3,627",35,0,0,108,2,0,3,106,0,0,1,0,0,0,468,12,0,56,158,1,119,8,0,60,0,1,1,0,0,17,7,291,22,10,2,8,2,5,3,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,647",0,"5,647"
Togo,37,31,1,4,859,9,0,0,6,0,0,0,8,0,0,0,0,0,0,92,0,0,8,59,1,40,2,0,5,0,0,0,0,0,1,0,36,2,22,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,238",0,"1,238"
Tunisia,28,133,7,33,"2,991",17,0,0,0,88,0,0,8,0,0,0,0,0,0,198,7,0,21,28,0,53,4,0,41,0,0,0,0,1,10,8,211,20,17,0,11,0,7,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,984",0,"3,984"
Uganda,12,186,2,18,"3,581",51,0,0,20,0,1,5,14,0,0,0,0,0,0,462,31,0,40,114,0,210,13,0,40,0,0,0,0,0,20,7,222,16,41,2,8,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,200,0,2,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,355",0,"5,355"
Zambia,36,145,0,47,947,85,0,0,10,18,0,15,1,0,0,0,0,0,0,109,12,0,23,124,0,127,3,0,21,0,0,0,0,0,7,6,61,14,6,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,830",0,"1,830"
Zimbabwe,45,21,0,13,"3,029",112,0,0,129,1,1,0,164,0,0,0,0,0,0,382,26,0,54,77,0,209,6,0,92,0,0,0,1,0,32,3,200,16,3,0,0,0,30,10,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,14,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,689",0,"4,689"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Africa,"1,832","8,824",249,"4,764","206,098","10,519",0,0,829,"4,660",12,392,"1,290",0,3,60,0,4,0,"15,357","1,210",0,"1,339","4,129",73,"4,406",166,0,"2,425",0,1,"1,252","1,402",56,"1,239",619,"9,020","1,131","2,429",216,816,132,901,"1,041",379,7,0,0,2,0,0,0,0,0,6,1,146,95,62,307,1,691,25,186,0,0,360,113,0,0,0,0,30,0,0,10,0,0,1,0,0,0,0,0,0,"291,318",0,"291,318"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,74,501,0,2,"1,204",37,0,0,11,0,0,0,0,0,0,0,0,0,0,190,0,0,17,47,0,53,0,0,1,0,0,0,0,0,0,1,329,8,248,5,36,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,775",0,"2,775"
Bahrain,20,450,2,21,"1,515",455,0,0,2,3,0,0,3,0,0,0,0,0,0,159,12,0,5,9,0,8,0,0,4,0,0,0,0,0,0,1,100,4,0,0,0,0,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,796",0,"2,796"
Bangladesh,26,423,16,49,"6,992",32,0,0,20,500,0,3,0,0,0,5,0,1,0,689,120,0,65,188,0,299,13,0,213,0,0,0,0,1,139,31,272,99,18,1,56,9,22,29,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,180,0,0,0,0,12,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"10,544",0,"10,544"
Bhutan,16,66,0,1,153,2,0,0,3,1,0,17,0,0,0,0,0,1,0,49,8,0,19,35,0,15,5,0,3,0,0,0,0,0,4,0,25,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,432
Brunei,11,50,0,0,35,11,0,0,2,11,0,9,0,0,0,0,0,0,0,9,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,9,7,3,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,209,0,209
Burma,39,5,0,327,388,942,0,0,346,0,0,1,"2,447",0,0,2,0,0,0,365,3,0,32,46,0,79,3,0,39,0,0,0,0,0,13,2,99,14,50,2,10,2,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,335",0,"5,335"
Cambodia,22,153,1,12,"1,936",8,0,0,8,0,0,5,1,0,0,0,0,0,0,204,1,0,26,44,0,44,2,0,6,0,0,0,0,0,3,2,128,17,780,63,40,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,545",0,"3,545"
China - mainland,516,"2,187",2,357,"353,452","8,377",0,0,"5,791",8,0,941,"13,646",0,3,12,0,6,0,"81,842","2,572",0,121,511,0,567,17,0,"9,223",0,0,0,296,325,"2,982",783,"24,111","6,227","1,800",298,465,109,"2,185","1,889","1,286",5,0,0,0,0,0,0,0,0,0,0,155,24,68,964,3,601,5,65,0,0,29,6,0,0,0,0,112,0,1,4,0,0,0,0,0,0,0,0,0,"524,949",0,"524,949"
China - Taiwan,1,1,0,14,"104,933",184,0,0,447,"1,965",0,2,0,0,619,267,0,2,0,"10,978",492,0,1,0,0,19,0,0,"2,057",0,0,0,1,19,469,96,"5,018",591,107,7,21,4,285,271,112,7,0,0,0,0,0,0,0,0,0,0,55,188,6,80,0,122,1,1,0,0,26,21,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,"129,506",0,"129,506"
Hong Kong S.A.R.,0,0,0,7,"27,720",12,0,0,4,281,0,0,0,0,0,0,0,0,0,"2,221",24,0,0,2,0,9,0,0,283,0,0,0,0,15,59,60,"1,223",29,60,10,10,3,77,58,18,2,0,0,0,0,0,0,0,0,0,0,30,210,13,34,0,36,0,30,0,0,17,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"32,562",0,"32,562"
India,162,"1,509",60,"1,580","284,315","1,758",0,0,562,"25,182",2,502,131,0,0,13,0,41,0,"26,890","1,499",0,88,149,1,"1,180",42,0,"55,886",0,2,0,16,308,"34,490",228,"5,706","1,871",630,22,373,20,"28,913","21,232","1,118",8,0,0,0,0,0,0,0,0,0,0,212,381,82,48,0,"1,718",14,0,0,0,427,205,0,0,0,0,109,0,0,0,0,0,1,0,0,0,0,0,0,"499,686",0,"499,686"
Indonesia,143,"2,234",99,787,"21,918",840,0,0,56,"10,074",0,34,33,0,1,1,0,3,0,"1,700",89,0,201,253,0,235,30,0,694,0,0,0,339,12,131,108,"1,322",203,135,8,27,5,230,274,17,0,0,0,1,0,0,0,0,0,0,0,14,2,6,34,0,48,2,3,0,0,15,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"42,378",0,"42,378"
Iran,0,1,6,475,"6,195","6,835",0,0,10,1,0,0,0,0,0,20,0,0,0,"1,784",270,0,79,231,0,169,0,0,129,0,0,0,0,0,99,6,377,225,399,27,74,9,15,17,3,1,0,0,0,0,0,0,0,0,0,0,9,10,3,6,0,25,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"17,518",0,"17,518"
Iraq,100,897,0,93,"2,341",71,0,0,4,1,0,0,0,0,0,0,0,0,0,204,77,0,42,50,0,41,0,0,10,0,0,0,0,0,24,13,654,81,161,4,95,8,11,12,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,5,0,0,0,0,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"5,020",0,"5,020"
