Fiscal Year 2007,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Russia,291,"2,215",1,723,"77,764","6,392",0,0,154,"15,752",0,15,2,0,3,14,0,0,0,"2,993",180,0,308,472,3,713,1,0,"1,150",0,0,1,18,1,33,770,601,"28,906",360,"1,340",367,118,42,386,352,39,0,0,0,2,0,0,0,0,0,0,0,132,15,41,"2,542",1,394,44,0,0,0,48,12,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,"145,725",0,"145,725"
San Marino,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
Serbia and Montenegro,41,307,1,938,"12,606",262,0,0,14,"2,258",0,7,0,0,1,2,0,0,0,915,27,0,28,79,0,94,1,0,343,0,0,2,403,135,5,104,118,"3,673",46,97,4,41,0,34,19,11,0,0,0,1,0,0,0,0,0,0,0,32,0,11,39,0,152,7,0,0,0,20,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"22,884",0,"22,884"
Slovakia,27,155,0,111,"9,599",144,0,0,16,763,0,3,16,0,0,12,0,0,0,426,8,0,9,56,1,28,2,0,169,0,0,0,109,64,7,45,54,"5,091",32,24,3,0,0,90,80,2,0,0,0,23,0,8,0,0,0,0,0,14,1,2,54,2,4,10,8,0,0,17,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"17,294",0,"17,294"
Slovenia,10,42,0,7,202,2,0,0,0,181,0,0,0,0,9,7,0,0,0,79,4,0,16,52,0,14,0,0,31,0,0,0,21,0,0,11,13,186,22,3,0,0,0,9,4,3,0,0,0,89,0,1,0,0,1,0,0,10,0,3,20,0,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,062",0,"1,062"
Spain,101,372,2,570,"2,637",66,0,0,18,"1,457",0,10,6,0,39,332,0,1,0,"3,329",80,0,39,125,25,370,0,0,879,0,0,0,22,1,38,248,271,"4,545",526,54,2,6,2,699,700,96,0,0,0,291,0,12,1,3,0,0,0,169,52,38,401,0,279,9,52,0,0,97,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"19,083",0,"19,083"
Sweden,51,"1,052",7,217,"1,625",61,0,0,18,"1,486",0,1,1,0,66,280,0,5,0,"2,190",33,0,13,106,6,170,8,0,422,0,0,2,79,0,16,139,190,"3,152",236,42,0,4,0,665,650,141,1,0,0,3,0,1,0,0,0,0,0,114,20,22,332,1,20,15,2,0,0,30,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"13,701",0,"13,701"
Switzerland,41,362,1,153,"2,468",31,0,0,2,368,0,5,0,0,28,184,0,1,0,"2,706",50,0,20,37,0,175,1,0,330,0,0,9,10,2,17,122,141,"1,472",173,15,2,3,0,500,383,103,1,0,0,0,0,0,0,0,0,0,0,107,16,33,80,0,18,3,1,0,0,34,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"10,225",0,"10,225"
Tajikistan,14,92,0,11,388,121,0,0,2,0,0,2,0,0,0,0,0,0,0,487,2,0,15,25,0,35,0,0,6,0,0,0,0,0,0,2,0,308,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,517",0,"1,517"
Turkey,104,752,1,91,"39,819",478,0,0,38,"2,299",0,50,168,0,65,192,0,0,0,"6,662",400,0,30,131,1,98,6,0,"1,606",0,0,0,115,0,18,491,153,"9,420",443,85,3,67,6,167,115,37,0,0,0,419,1,23,0,6,0,0,0,45,2,9,49,1,42,0,2,0,0,15,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"64,751",0,"64,751"
Turkmenistan,8,117,0,74,283,6,0,0,0,5,0,0,0,0,0,0,0,0,0,127,17,0,12,22,0,9,0,0,10,0,0,0,0,0,0,5,7,245,0,6,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0,961
Ukraine,53,443,0,329,"20,990",600,0,0,18,"8,100",0,0,14,0,2,19,0,0,0,668,62,0,22,57,0,97,4,0,307,0,0,68,365,0,6,213,79,"9,234",111,930,288,50,21,59,74,3,0,0,0,0,0,0,0,0,0,0,0,45,11,7,158,0,82,4,0,0,0,45,23,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,"43,673",0,"43,673"
Uzbekistan,29,60,0,45,"1,712",53,0,0,5,105,0,0,0,0,0,0,0,0,0,265,25,0,16,10,0,77,0,0,38,0,0,6,8,0,0,29,0,457,20,50,8,5,2,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,071",0,"3,071"
Vatican City,3,31,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Europe,"2,872","20,078",70,"14,486","473,450","26,440",0,0,"1,560","84,360",0,637,630,0,"2,480","10,311",0,63,0,"53,650","1,728",0,"1,435","3,904",201,"6,737",63,0,"20,739",0,1,384,"6,373","1,663",846,"7,618","7,862","198,514","6,586","5,476",953,779,130,"19,608","18,072","3,217",57,0,4,"5,679",5,277,66,154,1,1,0,"4,624","2,007","1,109","11,876",149,"2,845",259,856,1,0,"1,332",437,0,0,0,0,172,0,0,1,0,0,0,0,0,0,0,2,0,"1,035,890",0,"1,035,890"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,3,24,0,1,"2,641",385,0,0,1,12,0,3,0,0,0,0,0,0,0,77,0,0,7,0,0,4,0,0,17,0,0,0,5,0,0,2,0,22,2,5,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,229",0,"3,229"
"Bahamas, The",19,147,0,5,"12,522",850,0,0,16,88,0,31,7,0,0,0,0,0,0,"1,171",38,0,5,2,0,17,0,0,176,0,0,0,0,0,4,23,1,45,5,4,2,1,1,24,22,103,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,356",0,"15,356"
Barbados,14,62,0,5,"9,362","1,250",0,0,14,66,0,23,0,0,0,0,0,0,0,203,4,0,3,6,0,21,0,0,95,0,0,0,181,0,2,23,3,77,7,4,0,0,0,14,6,13,0,0,0,0,0,0,0,0,0,0,0,4,5,1,14,0,3,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"11,495",0,"11,495"
Belize,7,77,1,55,"4,679",177,0,0,214,13,1,63,0,0,0,0,0,0,0,181,12,0,1,2,0,5,0,0,26,0,0,2,203,2,0,5,0,39,6,5,1,6,1,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,827",0,"5,827"
Canada,195,148,0,22,153,10,0,0,3,37,0,2,0,0,275,"1,537",0,9,0,191,17,0,25,19,1,631,0,0,42,0,0,0,2,0,2,64,83,57,24,743,109,286,50,65,112,2,1,0,1,718,2,10,0,9,1,0,0,13,23,4,23,0,13,4,0,0,0,12,4,0,0,0,31,15,0,0,0,0,0,0,0,0,0,0,0,0,"5,800",0,"5,800"
Costa Rica,42,176,5,110,"34,252",257,0,0,221,549,0,73,1,0,4,7,0,0,0,409,22,0,11,2,0,83,1,0,166,0,0,64,579,600,4,86,38,659,56,70,26,14,10,216,151,10,0,0,0,0,0,0,0,0,0,0,0,10,0,3,6,0,15,3,0,0,0,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,057",0,"39,057"
Cuba,121,14,0,432,"2,018","9,021",0,0,17,5,0,1,0,0,0,2,0,0,0,18,0,0,129,75,1,65,0,0,3,0,0,0,3,2,0,5,5,4,3,457,216,21,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,24,1,18,0,0,0,0,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"12,723",0,"12,723"
Dominica,2,10,0,2,"1,349",128,0,0,14,42,0,6,0,0,0,0,0,0,0,128,3,0,0,1,0,1,0,0,27,0,0,0,2,0,0,4,0,4,0,8,3,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,788",0,"1,788"
Dominican Republic,22,659,16,"3,165","57,552","1,177",0,0,363,159,0,101,1,0,0,3,0,0,0,707,24,0,18,22,0,34,17,0,192,0,0,1,534,612,6,181,176,"2,148",24,605,205,127,74,65,93,15,0,0,0,0,0,0,0,0,0,0,0,16,7,5,728,0,9,94,0,0,0,42,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"70,035",0,"70,035"
El Salvador,54,397,15,"1,037","15,334","6,565",0,0,349,185,1,804,0,0,0,0,0,0,0,336,10,0,14,15,3,56,11,0,77,0,0,15,521,294,5,53,63,190,13,152,46,36,11,36,36,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,147,0,0,1,0,0,0,52,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"26,966",0,"26,966"
Grenada,3,32,0,5,"1,890",186,0,0,12,91,0,6,0,0,0,0,0,0,0,89,2,0,2,3,0,9,1,0,39,0,0,0,11,0,25,6,3,10,1,8,3,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,451",0,"2,451"
Guatemala,56,278,6,125,"24,902",101,0,0,288,185,0,159,3,0,1,0,0,0,0,442,28,0,12,27,0,80,9,0,110,0,0,179,"1,834","2,712",4,71,34,293,33,90,26,69,37,50,76,11,2,0,0,0,0,0,0,0,0,0,0,9,4,2,82,0,33,1,0,0,0,42,40,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,"32,553",0,"32,553"
Haiti,35,216,4,56,"28,790",388,0,0,424,124,0,226,0,0,0,0,0,0,0,393,12,0,16,16,0,45,7,0,33,0,0,110,4,0,2,18,102,157,5,633,134,223,93,10,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,241,2,0,0,0,23,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"32,591",0,"32,591"
Honduras,50,363,7,125,"23,504","2,408",0,0,284,"1,955",0,59,4,0,1,7,0,0,0,415,8,0,20,14,0,51,1,0,98,0,0,21,333,353,7,52,79,176,22,100,22,71,42,31,48,5,0,0,0,0,0,0,0,0,0,0,0,1,3,1,127,0,4,3,0,0,0,27,23,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,"30,933",0,"30,933"
Jamaica,23,241,9,77,"46,495",603,0,0,400,"1,220",0,96,1,0,0,21,0,0,0,"1,548",90,0,7,15,0,102,6,0,541,0,0,0,"4,638","10,044",32,298,44,"2,763",123,352,103,59,25,54,60,21,0,0,0,0,0,0,0,0,0,0,0,29,153,2,285,0,465,0,0,0,0,50,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"71,117",0,"71,117"
Mexico,548,"1,256",47,"4,755","44,815",698,"470,321","307,359","1,163","2,806",0,23,136,0,555,"1,318",0,1,0,"7,778",417,117,96,79,1,725,20,0,"2,905",0,0,"47,399","33,472","51,734",116,"2,510",821,"5,834",621,"1,547",339,"1,847",648,"2,535","3,513",303,11,0,0,2,0,0,0,0,0,0,0,379,529,165,"4,769",0,159,93,148,0,0,990,346,0,0,0,"4,060","2,470",0,1,7,1,0,0,0,0,0,27,18,50,"1,015,403",0,"1,015,403"
Nicaragua,49,109,6,38,"10,599",48,0,0,459,"1,279",0,55,5,0,0,0,0,0,0,182,5,0,12,10,0,47,8,0,39,0,0,166,148,101,2,21,19,198,3,112,24,42,21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,76,0,0,0,0,0,0,26,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"13,926",0,"13,926"
Panama,31,390,12,250,"13,163","3,802",0,0,434,763,0,268,9,0,0,2,0,2,0,499,17,0,20,40,0,45,5,0,156,0,0,0,57,29,1,49,38,366,26,53,7,29,13,33,27,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,33,0,0,8,2,0,0,30,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"20,736",0,"20,736"
Saint Kitts and Nevis,8,22,0,1,"1,293",191,0,0,3,5,0,8,0,0,0,0,0,0,0,116,3,0,2,2,0,5,0,0,13,0,0,0,1,1,0,2,0,6,0,2,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,703",0,"1,703"
Saint Lucia,16,28,0,6,"2,665",303,0,0,10,172,0,15,0,0,0,0,0,0,0,254,10,0,4,8,0,12,0,0,22,0,0,0,40,0,0,11,3,10,2,3,0,3,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,612",0,"3,612"
Saint Vincent and the Grenadines,6,28,1,6,"1,886",174,0,0,14,703,0,9,0,0,0,0,0,0,0,69,6,0,1,4,0,7,3,0,9,0,0,0,2,0,0,4,1,11,3,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,961",0,"2,961"
Trinidad and Tobago,56,231,0,295,"30,805",616,0,0,491,784,1,109,3,0,0,58,0,0,0,924,26,0,8,10,1,170,3,0,320,0,0,2,200,0,14,101,18,123,13,52,10,11,7,117,101,41,2,0,0,0,0,0,0,0,0,0,0,8,22,3,117,1,93,7,0,0,0,26,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"36,015",0,"36,015"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for North America,"1,360","4,908",129,"10,573","370,669","29,338","470,321","307,359","5,194","11,243",3,"2,140",170,0,836,"2,955",0,12,0,"16,130",754,117,413,372,7,"2,215",92,0,"5,106",0,0,"47,959","42,770","66,484",226,"3,589","1,531","13,192",992,"5,009","1,280","2,851","1,051","3,281","4,269",572,17,0,1,720,2,10,0,9,1,0,0,489,747,193,"6,498",3,"1,068",216,150,0,0,"1,391",576,0,0,0,"4,091","2,508",0,2,16,1,1,0,0,0,0,27,18,50,"1,456,277",0,"1,456,277"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,126,"3,549",2,144,"7,172",108,0,0,21,"2,573",0,194,6,0,48,406,"2,572","1,143",6,"1,380",41,0,20,22,0,238,1,0,695,0,1,79,"1,006",203,47,342,310,"4,989",276,202,10,37,3,"1,349","1,269",94,6,0,0,2,0,0,0,0,0,0,0,386,85,80,658,6,27,22,1,0,0,124,38,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"32,126",0,"32,126"
Fiji,6,17,3,16,"2,692",120,0,0,932,123,0,33,0,0,0,0,0,0,0,57,2,0,11,13,0,39,2,0,2,0,0,0,1,0,0,2,3,26,5,11,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,168",0,"4,168"
Kiribati,5,14,0,2,39,0,0,0,8,503,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0,611
Marshall Islands,3,0,0,6,23,2,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53
"Micronesia, Federated States of",6,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
Nauru,2,4,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17
New Zealand,15,515,0,95,"2,541",22,0,0,9,764,0,350,2,0,1,3,0,19,0,405,30,0,3,40,0,108,2,0,344,0,0,99,304,260,15,220,111,"1,606",115,50,2,5,1,317,237,20,2,0,0,0,0,0,0,0,0,0,0,84,16,16,108,0,23,15,3,0,0,68,20,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"8,992",0,"8,992"
Palau,10,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18
Papua New Guinea,17,70,0,46,157,27,0,0,46,3,0,15,3,0,0,0,0,0,0,32,0,0,5,8,0,15,1,0,1,0,0,0,0,0,0,2,0,13,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,468
Samoa,4,19,0,7,733,3,0,0,13,31,0,25,0,0,0,0,0,0,0,22,0,0,4,9,0,8,1,0,0,0,0,0,0,0,0,0,0,6,14,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,973
Solomon Islands,6,10,0,13,43,1,0,0,3,0,0,11,0,0,0,1,0,0,0,1,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,153
Tonga,7,85,4,35,"1,625",68,0,0,30,2,0,12,0,0,0,0,0,0,0,45,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,6,14,8,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,047",0,"2,047"
Tuvalu,0,7,0,0,9,5,0,0,3,233,0,9,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,282
Vanuatu,3,24,0,3,25,2,0,0,1,2,0,5,0,0,0,0,0,0,0,1,0,0,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Oceania,210,"4,319",9,367,"15,065",358,0,0,"1,081","4,236",0,672,11,0,49,410,"2,572","1,162",6,"1,953",73,0,57,129,0,425,8,0,"1,043",0,1,178,"1,311",463,62,566,424,"6,663",428,275,13,57,5,"1,674","1,506",115,8,0,0,2,0,0,0,0,0,0,0,471,101,96,769,6,82,40,4,0,0,374,80,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"50,003",0,"50,003"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,90,"1,213",7,308,"95,754",274,0,0,403,868,2,"1,236",1,0,61,126,0,1,0,"1,061",74,2,63,292,0,486,13,0,"1,185",0,0,12,619,2,24,713,210,"4,746",286,117,6,21,9,604,731,14,0,0,0,1,0,0,0,0,0,0,0,146,36,81,511,0,189,125,12,0,0,135,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"112,895",0,"112,895"
Bolivia,38,285,4,230,"7,796",204,0,0,849,72,0,180,1,0,8,4,0,0,0,433,21,0,30,64,0,231,31,0,127,0,0,7,171,0,6,87,11,366,24,57,10,17,4,40,62,3,0,0,0,0,0,0,0,0,0,2,0,7,4,3,42,0,17,0,1,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,579",0,"11,579"
Brazil,203,"3,238",47,"1,996","63,662","222,417",0,0,"21,626",939,0,"3,238","2,114",0,13,36,0,3,0,"7,418",353,0,138,263,0,940,61,0,"1,938",0,0,31,687,146,78,997,555,"18,085",924,678,125,140,50,"1,947","2,431",71,5,0,0,0,0,0,0,0,0,0,0,282,84,70,924,0,95,60,71,0,0,341,193,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,"359,735",0,"359,735"
Chile,71,"1,469",4,653,"35,811","1,011",0,0,302,"1,369",0,"1,128",0,0,16,32,0,3,0,"1,108",202,0,33,109,1,208,12,0,269,223,0,62,166,89,25,368,148,"3,649",235,60,17,9,0,170,290,15,1,0,0,0,0,0,0,0,0,0,0,22,22,15,37,0,11,8,3,0,0,54,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"49,526",0,"49,526"
Colombia,160,"2,415",27,"1,645","171,098",711,0,0,923,"1,114",1,58,0,0,59,448,0,1,0,"3,317",183,0,49,30,1,475,59,0,"1,631",0,0,1,133,0,22,894,172,"5,891",306,"1,215",442,216,87,485,607,33,0,0,0,1,0,0,0,0,0,0,0,101,22,62,605,0,58,47,16,0,0,202,62,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,"196,100",0,"196,100"
Ecuador,109,514,7,376,"59,060",190,0,0,808,347,0,79,7,0,1,19,0,0,0,"1,067",30,0,30,80,0,124,20,0,324,0,0,8,57,0,4,186,80,"2,752",73,186,46,96,34,115,168,13,0,0,0,0,0,0,0,0,0,0,0,12,0,11,54,0,65,10,0,0,0,35,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"67,215",0,"67,215"
Guyana,9,60,0,15,"3,374",109,0,0,168,197,0,16,0,0,0,0,0,0,0,76,1,0,5,1,0,46,4,0,53,0,0,0,4,0,1,50,8,12,0,70,16,17,5,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"4,339",0,"4,339"
Paraguay,22,241,15,127,"4,045",18,0,0,350,19,0,257,0,0,15,5,0,0,0,169,8,0,25,72,0,57,18,0,35,0,0,0,8,0,0,35,8,324,9,20,3,3,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,948",0,"5,948"
Peru,116,588,36,"1,326","28,784","8,247",0,0,"3,178","2,518",0,154,1,0,2,6,0,0,0,"1,065",103,0,46,52,0,382,115,0,755,0,0,900,267,3,11,417,126,"7,398",114,670,137,209,70,176,247,11,0,0,0,0,0,0,0,0,0,0,0,31,0,19,129,4,82,14,6,0,0,112,21,0,0,0,0,4,0,7,12,0,0,0,0,0,0,3,2,1,"58,677",0,"58,677"
Suriname,22,40,0,2,"2,210",47,0,0,4,1,0,84,0,0,2,1,0,0,0,34,1,0,9,13,0,3,0,0,7,0,0,0,0,0,0,1,2,22,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,514",0,"2,514"
