Fiscal Year 2007,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
South Africa,55,689,5,320,"44,756",352,0,0,119,"2,121",0,61,6,0,1,5,0,3,0,665,47,0,70,356,0,158,8,0,580,0,0,"1,159","1,486",416,27,476,73,"2,546",95,98,4,22,5,586,474,26,2,0,0,0,0,0,0,0,0,0,0,54,14,16,93,0,108,18,35,0,0,88,56,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"58,357",0,"58,357"
Sudan,47,86,13,209,"1,542",48,0,0,3,0,0,2,4,0,2,0,0,0,0,122,7,0,34,87,0,82,0,0,16,0,0,0,0,0,0,10,5,37,5,13,1,27,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2,421",0,"2,421"
Swaziland,12,7,1,7,177,24,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,9,40,0,5,1,0,5,0,0,0,0,0,0,2,4,21,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,354
Tanzania,55,294,1,785,"1,554","1,224",0,0,10,0,0,3,9,0,1,1,0,1,0,472,51,0,77,163,2,156,6,0,76,0,0,0,0,0,1,23,10,181,13,18,0,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,239",0,"5,239"
Togo,17,9,1,7,864,29,0,0,5,0,0,4,0,0,0,0,0,0,0,112,3,0,5,67,0,39,2,0,10,0,0,0,0,0,0,1,2,28,2,15,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,233",0,"1,233"
Tunisia,38,215,4,124,"2,216",210,0,0,7,77,0,0,8,0,0,1,0,0,0,131,6,0,15,34,0,40,2,0,34,0,0,0,0,0,0,18,3,203,11,9,0,2,1,7,8,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,14,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"3,454",0,"3,454"
Uganda,26,96,3,17,"3,371",38,0,0,29,1,0,39,12,0,0,0,0,0,0,380,22,0,19,47,0,183,5,0,43,0,0,0,0,0,0,10,8,222,23,34,7,12,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,61,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,852",0,"4,852"
Zambia,35,124,5,11,"1,254",101,0,0,31,5,0,6,0,0,0,0,0,0,0,164,18,0,27,104,0,137,14,0,29,0,0,0,1,0,1,4,5,94,16,8,1,0,0,7,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2,235",0,"2,235"
Zimbabwe,43,14,0,23,"2,856",202,0,0,74,1,0,2,75,0,0,0,0,0,0,443,33,0,49,68,0,159,6,0,125,0,0,1,5,4,0,45,5,157,29,10,1,3,0,46,30,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,12,0,2,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,562",0,"4,562"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Africa,"1,823","7,680",201,"6,225","188,815","15,194",0,0,754,"4,215",6,552,769,0,8,46,0,5,0,"13,348","1,166",0,"1,278","3,532",26,"3,997",162,0,"2,924",0,0,"1,173","1,536",424,97,"1,486",397,"8,798","1,166","2,416",207,"1,030",175,"1,092","1,129",152,2,0,0,1,0,0,0,0,0,3,0,117,86,40,327,0,497,29,129,0,0,"1,046",292,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,1,0,"276,618",0,"276,618"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,55,756,0,4,940,91,0,0,1,0,0,0,0,0,0,0,0,0,0,137,8,0,25,16,0,50,0,0,3,0,0,0,0,0,0,1,0,331,10,130,4,37,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,611",0,"2,611"
Bahrain,11,358,3,30,"1,518",515,0,0,6,6,0,0,0,0,0,0,0,0,0,145,15,0,1,51,0,7,0,0,9,0,0,0,0,0,0,3,0,112,19,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,816",0,"2,816"
Bangladesh,38,219,5,233,"5,188",201,0,0,24,543,0,19,16,0,0,5,0,0,0,471,88,0,44,54,0,249,6,0,335,0,0,0,1,0,2,195,17,313,55,13,0,69,12,22,30,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,29,0,0,0,0,22,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,"8,539",0,"8,539"
Bhutan,3,36,0,1,238,4,0,0,0,0,0,8,0,0,0,0,0,1,0,76,9,0,10,39,0,18,0,0,1,0,0,0,0,0,0,3,0,28,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,544
Brunei,1,29,0,4,96,10,0,0,0,12,0,0,0,0,0,0,0,0,0,15,0,0,2,27,0,16,0,0,1,0,0,0,0,0,0,1,2,9,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,228
Burma,36,3,3,263,422,595,0,0,273,0,1,14,"1,873",0,0,0,0,0,0,262,4,0,9,25,0,91,3,0,53,0,0,0,0,0,3,26,1,54,5,50,4,15,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,127",0,"4,127"
Cambodia,23,104,0,2,"2,163",26,0,0,4,0,0,0,0,0,1,0,0,0,0,213,1,0,28,51,0,26,3,0,9,0,0,0,0,0,0,3,3,103,3,825,91,50,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,33,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,814",0,"3,814"
China - mainland,551,"2,278",3,692,"304,211","27,352",0,0,"5,811",4,0,736,"12,843",0,4,26,0,8,0,"39,535","2,713",0,96,425,0,460,24,0,"10,761",0,0,0,301,1,424,"3,711",845,"15,482","4,542","2,362",341,659,179,"2,043","1,485",752,3,0,0,0,0,0,0,0,0,0,0,129,29,48,890,2,689,8,94,0,0,58,8,0,0,0,0,175,0,1,2,4,2,0,0,0,0,0,0,0,"443,802",0,"443,802"
China - Taiwan,0,2,0,31,"150,557",321,0,0,638,"1,850",0,0,0,0,689,263,0,0,0,"14,973",572,0,1,0,0,14,0,0,"2,506",0,0,0,19,0,27,655,136,"3,869",631,58,8,21,1,327,383,147,3,0,0,0,0,0,0,0,0,0,0,33,58,13,92,0,185,1,1,0,0,125,29,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"179,254",0,"179,254"
Hong Kong S.A.R.,0,1,0,12,"44,451",412,0,0,16,705,0,1,0,0,0,1,0,1,0,"2,325",34,0,0,4,0,14,0,0,442,0,0,0,0,0,5,61,103,"1,482",24,54,8,13,3,117,69,14,0,0,0,0,0,0,0,0,0,0,0,20,272,0,38,0,59,0,37,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"50,815",0,"50,815"
India,132,"2,882",36,"1,808","364,951","2,451",0,0,276,"24,894",1,456,251,0,2,12,0,58,0,"34,471","1,488",0,87,147,0,"1,083",46,0,"83,464",0,0,10,702,0,424,"51,326",178,"5,844","1,834",821,33,495,26,"41,001","23,195","2,604",23,0,0,0,0,0,0,0,0,1,0,152,155,79,35,0,"2,128",25,2,0,0,"2,470",339,0,0,0,0,154,0,2,6,0,0,0,0,0,0,0,0,0,"653,060",0,"653,060"
Indonesia,135,"1,636",77,942,"27,784",304,0,0,88,"6,150",0,34,11,0,1,2,0,3,0,"2,365",162,0,227,295,0,218,45,0,"1,007",0,0,4,420,16,23,224,76,"1,207",130,125,8,16,1,277,338,26,9,0,0,0,0,0,0,0,0,0,0,10,1,2,10,0,40,0,5,0,0,40,19,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,"44,521",0,"44,521"
Iran,0,33,2,495,"5,357","3,726",0,0,17,12,1,3,0,0,0,13,0,0,0,799,122,0,86,222,1,179,1,0,171,0,0,0,2,0,1,164,2,344,136,366,24,87,6,17,8,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,13,0,0,0,0,2,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,"12,442",0,"12,442"
Iraq,57,396,1,27,"1,530",36,0,0,6,9,0,6,0,0,0,0,0,0,0,135,31,0,24,80,0,14,0,0,42,0,0,0,0,0,0,83,0,225,42,175,11,141,19,9,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"3,132",0,"3,132"
Israel,246,"2,040",0,58,"145,079",424,0,0,65,159,0,40,373,0,522,14,0,7,0,"1,170",100,0,20,16,0,42,1,0,"1,075",0,0,0,999,0,52,883,111,"3,940","1,659",43,5,11,2,"1,192","2,067",33,0,0,0,0,0,0,0,0,0,0,0,164,11,69,362,0,73,4,2,0,0,421,274,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"163,836",0,"163,836"
