Fiscal Year 2008,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Iran,0,4,3,342,"5,168","4,040",0,0,10,8,0,0,1,0,0,20,0,1,0,"1,046",153,0,112,193,0,180,0,0,130,0,0,0,0,1,111,8,388,150,350,24,80,7,14,17,2,1,0,0,0,0,0,0,0,0,0,0,4,11,0,19,0,17,1,0,0,0,1,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"12,635",0,"12,635"
Iraq,72,545,3,14,"1,492",57,0,0,3,3,0,1,0,0,0,0,0,0,0,209,95,0,44,57,0,20,0,0,16,0,0,0,0,1,21,7,586,74,175,8,121,13,15,35,4,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,10,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"3,714",0,"3,714"
Israel,251,"2,162",2,31,"170,668",293,0,0,71,965,0,10,226,0,428,25,0,9,0,"1,229",109,0,20,31,0,49,1,0,829,0,0,0,"1,496",54,607,92,"3,599","1,337",35,4,9,0,801,"1,399",29,0,0,0,0,0,0,0,0,0,0,0,206,4,101,404,0,148,9,0,0,0,405,291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"188,440",0,"188,440"
Japan,324,"6,640",12,"1,039","2,341",168,0,0,30,"2,702",0,59,0,0,"1,656","9,624",0,8,0,"19,876",838,0,46,54,0,352,2,0,"2,610",0,0,0,222,353,"1,008","1,551","6,586","2,796",409,17,66,2,"5,350","6,821",796,9,0,0,0,0,0,0,0,0,0,0,474,116,112,550,0,548,30,178,0,0,155,58,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,"76,623",0,"76,623"
Jordan,50,"1,829",2,175,"11,715",388,0,0,3,144,0,76,6,0,0,13,0,0,0,735,195,0,14,56,0,76,0,0,245,0,0,0,0,3,139,21,946,144,54,1,175,28,16,21,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,1,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,"17,295",0,"17,295"
"Korea, North",0,0,0,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137
"Korea, South",185,"3,008",9,108,"289,164",358,0,0,201,"4,990",0,384,2,0,519,"3,244",0,5,0,"50,078","6,231",0,60,182,0,182,3,0,"3,257",0,2,1,36,130,"2,003",651,"10,581","6,578",253,24,26,0,"1,579","2,733",287,80,0,0,0,0,0,0,0,0,0,0,229,82,111,253,1,405,40,73,0,0,409,521,0,0,0,0,27,0,0,2,0,0,0,0,0,0,0,0,0,"389,287",0,"389,287"
Kuwait,65,568,0,20,"10,747",12,0,0,4,0,0,0,81,0,0,0,0,0,0,872,154,0,27,43,0,2,0,0,6,0,0,0,0,8,7,2,65,33,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,737",0,"12,737"
Laos,16,82,0,15,"2,116",13,0,0,3,0,0,13,0,0,0,0,0,0,0,37,0,0,31,65,0,11,1,0,1,0,0,0,0,0,0,1,30,3,625,43,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,155",0,"3,155"
Lebanon,15,485,3,75,"16,597",170,0,0,9,147,0,1,47,0,0,4,0,0,0,502,9,0,4,112,0,82,3,0,369,0,0,0,5,9,130,22,572,72,167,1,76,7,40,37,10,1,0,0,0,0,0,0,0,0,0,0,14,0,2,6,0,50,0,2,0,0,15,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"19,888",0,"19,888"
Macau S.A.R.,0,0,0,0,991,2,0,0,3,0,0,0,0,0,0,0,0,0,0,153,2,0,0,0,0,0,0,0,15,0,0,0,1,1,1,0,67,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,251",0,"1,251"
Malaysia,106,702,10,758,"32,215",67,0,0,88,"1,700",0,18,10,0,3,3,0,8,0,"1,783",135,0,13,139,0,72,2,0,709,0,0,0,1,148,194,108,877,114,48,3,3,0,627,394,22,0,0,0,0,0,0,0,0,0,0,0,16,6,5,4,0,4,0,0,0,0,24,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"41,148",0,"41,148"
Maldives,5,28,0,0,61,0,0,0,1,55,0,0,0,0,0,0,0,0,0,10,0,0,7,10,0,9,0,0,2,0,0,0,0,0,1,0,9,2,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,268
Mongolia,22,222,1,282,"1,854",317,0,0,20,0,0,5,4,0,0,9,0,0,0,553,36,0,25,82,0,57,1,0,40,0,0,0,1,0,26,50,386,35,10,1,2,1,3,5,12,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,11,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"4,109",0,"4,109"
Nepal,9,247,12,39,"7,814",22,0,0,38,413,0,102,0,0,0,0,0,3,0,"4,708",244,0,19,35,0,225,6,0,455,0,1,10,316,0,245,5,318,77,52,4,19,2,41,27,40,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,23,0,4,0,0,166,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,751",0,"15,751"
Oman,23,338,0,0,944,478,0,0,0,35,0,1,0,0,0,0,0,0,0,135,18,0,17,39,0,3,2,0,8,0,0,0,0,1,4,0,98,10,0,0,1,0,10,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,187",0,"2,187"
Pakistan,130,"1,754",11,118,"23,324",376,0,0,16,347,0,13,30,0,15,37,0,3,0,"1,107",140,0,126,111,1,339,8,0,926,0,0,0,1,6,771,48,"1,027",436,447,10,358,61,134,199,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,99,1,0,0,0,12,4,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,"32,666",0,"32,666"
Palestinian Authority Travel Document,0,0,0,6,"2,242",17,0,0,1,2,0,0,0,0,0,1,0,0,0,155,12,0,0,0,0,18,0,0,15,0,0,0,0,0,14,16,236,64,16,0,35,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2,864",0,"2,864"
Philippines,92,"1,948",198,"4,707","104,243",811,0,0,"1,600","48,531",0,167,"5,785",0,37,203,0,5,0,911,96,0,229,193,0,615,170,0,"3,998",0,156,26,"3,872",49,"3,465",94,"1,796",546,"4,994",860,731,178,"1,098",800,28,1,0,0,1,0,0,1,0,0,0,0,71,133,18,164,0,90,0,9,0,0,379,166,0,0,0,0,11,0,2,8,0,0,0,0,0,0,0,0,0,"194,286",0,"194,286"
Qatar,56,471,0,9,"2,112",2,0,0,0,1,0,0,52,0,0,0,0,0,0,414,12,0,23,86,0,1,1,0,0,0,0,0,1,5,4,3,28,6,0,0,0,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,302",0,"3,302"
Saudi Arabia,366,"3,269",2,163,"15,587","4,493",0,0,3,2,0,0,402,0,0,0,0,0,0,"8,038","2,410",0,46,124,0,60,0,0,13,0,0,0,0,7,22,3,346,279,1,0,0,0,120,345,111,9,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,224",0,"36,224"
Singapore,50,"1,924",0,145,507,28,0,0,6,"2,170",0,24,5,0,2,50,0,1,0,"1,541",94,0,19,40,0,57,0,0,473,411,0,0,0,287,304,23,"1,124",103,30,1,6,1,270,254,34,0,0,0,0,0,0,0,0,0,0,0,18,15,6,9,0,2,0,0,0,0,17,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"10,058",0,"10,058"
Sri Lanka,22,224,23,223,"7,006",205,0,0,159,"1,098",1,17,6,0,0,5,0,0,0,942,147,0,54,37,0,126,25,0,256,0,0,0,0,3,116,10,141,67,17,1,12,0,168,118,59,1,0,0,1,0,0,0,0,0,0,0,6,1,6,8,0,29,0,0,0,0,67,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,"11,421",0,"11,421"
Syria,12,8,0,34,"5,229",89,0,0,0,12,0,0,14,0,0,0,0,0,0,143,15,0,45,20,0,52,1,0,89,0,0,0,0,2,104,9,188,75,147,3,39,5,11,12,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,41,0,0,0,0,4,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"6,421",0,"6,421"
Thailand,64,836,21,258,"38,017",61,0,0,282,"3,202",0,54,12,0,40,222,0,0,0,"4,481",61,0,5,144,2,58,6,0,433,0,0,32,15,6,85,118,"11,725",106,882,151,142,49,181,127,37,0,0,0,1,0,0,0,0,0,0,0,23,5,10,7,0,39,0,9,0,0,114,0,0,0,0,0,5,0,23,48,0,0,0,0,0,0,0,0,0,"62,199",0,"62,199"
Timor-Leste,8,41,0,0,25,0,0,0,4,0,1,7,0,0,0,0,0,0,0,3,0,0,9,17,0,2,2,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,144
United Arab Emirates,53,550,0,5,"4,982",15,0,0,2,0,0,0,35,0,0,0,0,0,0,819,74,0,0,55,0,2,0,0,2,0,0,0,0,0,0,7,56,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,677",0,"6,677"
Vietnam,188,808,5,81,"30,426","1,595",0,0,92,435,0,88,27,0,0,1,0,1,0,"9,216",100,0,75,161,0,128,5,0,228,0,0,0,75,11,51,65,"1,323",96,"1,674",147,82,15,170,59,5,0,0,0,0,0,0,0,0,0,0,0,6,12,1,16,1,233,0,0,0,0,243,6,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,"47,956",0,"47,956"
Yemen,19,164,0,28,806,14,0,0,1,6,0,0,1,0,0,0,0,0,0,93,24,0,34,50,0,26,1,0,5,0,0,0,0,0,6,2,120,16,7,2,84,55,0,1,7,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,573",0,"1,573"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Asia,"3,256","36,130",462,"13,046","1,729,027","29,100",0,0,"10,191","102,738",5,"2,430","21,528",0,"3,438","13,774",0,108,0,"222,524","16,620",0,"1,684","3,501",27,"5,324",369,0,"100,125",411,160,71,"7,140","2,126","57,493","4,308","79,238","21,245","14,286","1,722","3,145",599,"53,846","40,978","5,463",130,0,0,3,0,0,1,0,0,1,0,"1,489","1,457",571,"2,540",7,"5,270",96,378,0,0,"4,514","1,359",0,0,0,0,569,0,30,69,0,1,0,0,0,0,0,0,0,"2,626,123",0,"2,626,123"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,24,194,0,22,"7,081",13,0,0,19,0,0,2,20,0,0,0,0,0,0,447,15,0,4,48,1,66,0,0,81,0,0,0,5,0,12,15,260,5,54,1,17,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,453",0,"8,453"
Andorra,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29
Armenia,40,99,2,5,"3,802",22,0,0,2,0,0,0,3,0,0,5,0,0,0,130,18,0,4,54,0,95,1,0,50,0,0,0,0,0,41,14,385,35,81,6,26,0,15,16,2,0,0,0,0,0,0,0,0,0,0,0,6,1,1,33,0,151,0,0,0,0,9,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"5,162",0,"5,162"
Austria,35,286,2,29,695,8,0,0,4,476,0,2,0,0,13,132,0,1,0,760,14,0,14,73,4,104,0,0,165,0,0,1,31,35,54,136,"1,961",83,28,1,3,1,283,163,51,1,0,0,2,0,0,0,0,0,0,0,115,10,29,228,0,21,3,16,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,084",0,"6,084"
Azerbaijan,34,287,1,31,"2,342",4,0,0,8,32,0,1,4,0,0,1,0,0,0,310,9,0,25,50,0,71,0,0,36,0,0,0,1,5,27,8,654,19,9,1,0,0,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,042",0,"4,042"
Belarus,16,15,0,102,"3,888","1,863",0,0,7,765,0,0,0,0,0,1,0,0,0,202,14,0,32,63,0,67,0,0,90,0,0,0,0,0,56,3,"2,035",25,96,14,3,0,35,39,1,0,0,0,0,0,0,0,0,0,0,0,11,2,2,68,0,2,6,0,0,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"9,532",0,"9,532"
Belgium,36,229,1,79,567,18,0,0,13,551,0,28,4,0,12,138,0,1,0,759,12,0,16,92,27,137,1,0,175,0,0,0,11,9,62,119,"1,067",99,15,2,2,0,344,386,84,2,0,0,607,0,30,0,1,0,0,0,76,21,16,184,0,10,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,058",0,"6,058"
Bosnia and Herzegovina,16,113,1,23,"5,268",88,0,0,8,399,0,0,5,0,1,3,0,0,0,174,3,0,3,38,0,67,0,0,47,0,0,0,5,0,5,12,395,3,35,1,42,0,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,0,0,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"6,858",0,"6,858"
Bulgaria,27,148,0,88,"15,825",24,0,0,28,"2,748",0,1,10,0,1,8,0,0,0,748,23,0,13,84,0,88,3,0,411,0,0,4,235,5,82,57,"7,322",52,53,3,16,3,40,23,7,0,0,0,155,0,8,0,0,0,0,0,39,3,11,198,1,65,2,0,0,0,7,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"28,681",0,"28,681"
Croatia,29,250,2,31,"12,729",541,0,0,12,"3,613",0,8,1,0,0,4,0,0,0,336,4,0,26,73,0,69,0,0,84,0,0,0,10,4,16,98,545,21,19,2,3,0,33,28,13,0,0,0,1,0,1,0,0,0,0,0,17,0,4,47,0,42,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,730",0,"18,730"
Cyprus,13,24,0,2,"4,546",576,0,0,0,44,0,0,0,0,0,0,0,0,0,282,1,0,9,12,0,14,0,0,65,0,0,0,0,0,7,9,218,6,2,1,0,1,6,4,6,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,862",0,"5,862"
Czech Republic,59,593,1,271,"23,235","3,467",0,0,26,294,0,1,116,0,1,18,0,1,0,838,9,0,36,107,5,46,1,0,127,0,0,0,72,5,33,121,"3,115",94,29,5,9,2,122,84,13,0,0,0,95,0,9,0,0,0,0,0,39,3,3,324,0,24,15,1,0,0,6,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"33,483",0,"33,483"
Denmark,24,374,2,137,"1,588",27,0,0,22,622,0,2,1,0,63,6,0,1,0,793,22,0,9,74,5,162,6,0,153,0,0,26,5,5,71,181,"1,794",180,24,1,4,0,431,575,116,7,0,0,112,0,3,0,0,2,0,0,92,11,29,109,0,14,2,0,0,0,11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,903",0,"7,903"
Estonia,16,68,1,44,"6,230",571,0,0,11,176,0,1,0,0,0,0,0,0,0,109,2,0,3,22,3,13,0,0,29,0,0,0,4,0,8,9,427,14,3,0,1,0,14,10,13,2,0,0,107,0,0,0,0,0,0,0,8,1,1,19,0,9,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,954",0,"7,954"
Finland,34,350,6,178,108,180,0,0,1,841,0,1,0,0,39,114,0,2,0,414,17,0,21,119,4,106,2,0,76,0,0,1,8,0,33,120,"1,238",151,22,1,2,0,283,370,32,0,0,0,1,0,0,0,0,0,0,0,51,4,16,250,0,49,5,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,263",0,"5,263"
France,301,"2,466",5,246,"4,647",168,0,0,12,"4,858",0,144,3,0,146,"1,513",0,9,0,"5,295",89,0,62,259,37,"1,059",10,0,"1,770",0,0,5,44,107,461,738,"12,343",828,101,4,12,3,"2,529","3,085",197,4,0,0,24,0,29,6,11,0,0,1,549,115,183,824,2,202,24,247,0,0,88,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,"45,891",0,"45,891"
Georgia,60,429,2,15,"2,443",7,0,0,6,"1,483",0,0,0,0,0,2,0,0,0,262,10,0,33,30,0,77,1,0,48,0,0,0,0,0,26,33,493,47,13,1,2,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,138,0,14,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,709",0,"5,709"
Germany,148,"1,055",13,493,"7,901",103,0,0,62,"4,592",0,65,3,0,"1,242","3,330",0,15,0,"7,255",77,0,78,167,28,522,12,0,"1,674",0,0,6,54,86,499,"1,124","25,149",788,296,32,39,1,"2,955","2,137",464,5,0,0,"1,064",1,73,30,57,1,0,0,528,99,114,"1,071",0,94,11,114,0,0,106,45,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,"65,890",0,"65,890"
Great Britain and Northern Ireland,180,"2,911",5,"1,818","21,660",332,0,0,33,"7,333",0,75,3,0,166,"2,659",0,39,0,"4,647",158,0,55,151,22,813,0,0,"3,082",0,8,25,"1,353",110,"1,292","2,186","17,568",375,784,65,108,6,"6,276","5,436","1,044",15,0,1,466,0,27,9,23,0,1,0,"1,913","1,099",478,"2,913",97,219,46,159,1,0,237,81,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,"90,603",0,"90,603"
Greece,54,351,0,16,"35,988",77,0,0,9,"1,386",0,5,1,0,9,4,0,0,0,917,12,0,23,134,5,62,0,0,324,0,0,0,1,4,35,117,720,121,11,0,3,1,49,14,26,0,0,0,465,0,16,0,2,0,0,0,63,5,8,98,0,86,2,0,0,0,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"41,238",0,"41,238"
Hungary,24,197,0,50,"22,052",80,0,0,41,581,0,1,49,0,2,2,0,0,0,437,19,0,13,82,13,66,1,0,192,0,0,6,10,8,112,87,"1,947",175,33,1,14,3,110,96,7,0,0,0,146,0,7,0,1,0,0,0,39,1,9,218,2,37,9,0,0,0,15,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"27,001",0,"27,001"
Iceland,4,23,0,1,331,0,0,0,0,33,0,0,0,0,0,0,0,0,0,211,48,0,5,46,0,31,1,0,23,0,0,0,0,0,18,12,148,65,6,0,0,0,21,36,64,15,0,0,5,0,0,0,0,0,0,0,27,5,13,65,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,259",0,"1,259"
Ireland,21,338,0,166,"1,622",21,0,0,4,631,0,3,0,0,20,162,0,1,0,529,21,0,7,78,5,112,0,0,477,0,0,13,58,26,105,224,"9,210",92,68,4,9,0,700,464,325,3,0,0,5,0,0,0,0,0,0,0,141,88,23,413,0,340,3,7,0,0,41,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"16,583",0,"16,583"
Italy,122,705,2,323,"4,850",81,0,0,8,"2,621",0,10,0,0,226,604,0,5,0,"3,873",36,0,50,182,24,471,2,0,865,0,0,0,24,83,207,279,"4,905",313,59,0,11,1,799,603,163,1,0,0,534,1,24,21,1,0,0,0,395,117,59,252,5,62,7,138,0,0,113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,242",0,"24,242"
Kazakhstan,50,476,1,"1,114","4,271","1,663",0,0,9,0,0,1,33,0,0,1,0,0,0,"1,240",41,0,25,69,0,92,1,0,61,0,0,0,2,8,22,37,"5,196",34,47,13,6,1,28,37,2,0,0,0,0,0,0,0,0,0,0,0,5,0,3,31,0,2,3,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,636",0,"14,636"
Kosovo,7,22,0,6,335,24,0,0,0,1,0,0,0,0,0,0,0,0,0,63,4,0,0,5,0,7,0,0,2,0,0,0,0,0,2,10,101,2,21,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,0,626
Kyrgyzstan,10,211,0,6,"1,077",2,0,0,8,0,0,1,1,0,0,0,0,0,0,151,14,0,21,13,0,79,0,0,23,0,0,0,0,0,8,5,"1,038",14,29,6,6,2,4,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,753",0,"2,753"
Latvia,18,275,0,36,"5,200",486,0,0,44,"1,420",0,0,3,0,0,9,0,0,0,173,7,0,2,25,1,14,0,0,51,0,0,0,2,0,7,25,180,11,17,11,4,0,11,4,14,0,0,0,12,0,3,0,0,0,0,0,14,1,5,21,0,2,2,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,127",0,"8,127"
Liechtenstein,1,2,0,0,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0,23,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53
Lithuania,18,266,0,34,"7,400",17,0,0,15,469,0,0,0,0,0,6,0,1,0,212,8,0,1,48,3,5,0,0,85,0,0,0,22,1,19,11,"1,145",13,26,11,6,3,8,3,0,0,0,0,26,0,2,0,0,0,0,0,16,1,2,22,0,8,1,0,0,0,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"9,949",0,"9,949"
Luxembourg,11,16,0,1,42,16,0,0,0,21,0,0,0,0,0,2,0,0,0,46,0,0,10,24,1,13,0,0,1,0,0,0,0,0,0,5,51,1,0,0,0,0,11,2,11,0,0,0,3,0,1,0,0,0,1,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,297
Macedonia,22,240,2,233,"2,668",143,0,0,4,"1,125",0,1,0,0,0,1,0,0,0,124,5,0,13,57,0,22,1,0,31,0,0,2,7,0,8,40,"1,664",14,24,1,17,0,8,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,6,3,0,14,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,522",0,"6,522"
Malta,3,25,0,2,"2,729",4,0,0,5,61,0,2,0,0,0,0,0,0,0,11,0,0,2,12,3,7,0,0,6,0,0,0,0,0,6,2,26,3,4,0,0,0,9,6,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,943",0,"2,943"
Moldova,6,93,0,7,"3,108",37,0,0,51,1,0,0,80,0,0,13,0,0,0,296,3,0,4,33,1,42,1,0,64,0,0,31,271,2,51,3,"6,099",6,54,8,14,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,36,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,444",0,"10,444"
Monaco,3,2,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
Montenegro,3,16,0,1,269,15,0,0,0,140,0,0,0,0,0,0,0,0,0,30,0,0,0,10,0,2,0,0,5,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,525
Netherlands,88,347,2,423,"1,660",36,0,0,1,"4,001",0,1,1,0,24,328,0,3,0,"1,499",36,0,19,157,5,278,3,0,344,0,0,8,29,12,107,228,"3,088",199,67,3,11,1,"1,003",972,352,6,0,0,177,0,34,0,4,0,0,0,179,42,43,352,1,11,4,1,0,0,32,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"16,227",0,"16,227"
