Fiscal Year 2006,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Tunisia,17,270,3,63,"2,329",52,0,2,28,0,0,3,0,0,1,0,0,0,101,2,0,19,27,0,60,2,0,39,0,0,0,0,0,0,18,1,246,22,6,0,6,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"3,353",0,"3,353"
Uganda,13,121,3,16,"2,864",51,0,44,1,0,8,14,0,0,0,0,0,0,384,39,0,33,65,0,157,10,0,44,0,0,0,0,0,0,18,8,215,18,20,1,14,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,109,0,0,0,0,39,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"4,335",0,"4,335"
Zambia,18,84,0,11,"1,684",187,0,36,11,0,17,0,0,0,1,0,0,0,238,32,0,7,79,0,114,4,0,14,0,0,0,0,0,0,11,1,123,24,3,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,734",0,"2,734"
Zimbabwe,53,4,1,18,"2,462",370,0,70,38,1,8,30,0,0,2,0,0,0,388,48,0,41,95,0,149,8,0,82,0,0,1,1,7,0,30,2,149,20,8,2,3,2,55,30,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,3,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,228",0,"4,228"
Totals for Africa,"1,844","8,616",185,"6,260","166,455","17,900",0,819,"3,825",7,442,618,0,2,66,0,2,0,"12,229",836,0,"1,189","3,680",68,"3,672",146,0,"2,918",0,0,"1,071","1,973",54,100,"1,549",411,"8,527","1,083","1,954",169,"1,082",212,"1,173",988,164,4,0,0,1,0,0,0,0,0,3,0,122,69,39,346,1,629,17,122,0,0,980,239,0,0,0,0,46,0,1,6,0,0,0,0,0,0,3,5,0,"254,922",0,"254,922"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,61,347,1,8,883,100,0,1,0,0,0,0,0,0,0,0,0,0,118,4,0,24,10,0,40,1,0,4,0,0,0,0,0,0,2,1,258,3,130,5,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,043",0,"2,043"
Bahrain,16,273,0,5,"1,769",5,0,0,9,0,0,0,0,0,1,0,0,0,164,8,0,13,27,1,3,0,0,9,0,0,0,0,0,0,2,2,78,8,1,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,405",0,"2,405"
Bangladesh,25,242,4,92,"6,158",206,0,23,390,0,22,182,0,0,14,0,0,0,442,40,0,47,76,0,258,7,0,323,0,0,0,0,0,1,218,12,232,44,14,3,146,29,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,28,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,"9,409",0,"9,409"
Bhutan,7,37,0,0,133,3,0,5,2,0,6,0,0,0,0,0,0,0,62,7,0,7,52,0,33,2,0,2,0,0,0,0,0,0,3,0,23,8,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,414
