Fiscal Year 2006,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Luxembourg,14,23,0,4,107,18,0,0,21,0,0,0,0,0,6,0,0,0,34,0,0,3,18,1,7,0,0,8,0,0,0,0,0,0,10,15,33,3,0,0,0,0,7,2,9,0,0,0,4,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,356
Macedonia,35,204,2,295,"2,196",108,0,2,694,0,1,0,0,0,3,0,0,0,129,4,0,1,40,0,29,1,0,48,0,0,0,6,0,0,14,29,679,12,16,0,9,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,14,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,592",0,"4,592"
Malta,5,9,0,3,"2,360",3,0,10,44,0,0,0,0,0,0,0,0,0,9,0,0,6,5,0,14,0,0,7,0,0,0,2,0,0,8,1,26,2,1,0,0,0,7,5,8,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,552",0,"2,552"
Moldova,19,83,1,11,"1,902",7,0,62,0,0,0,92,0,0,12,0,0,0,247,5,0,9,9,0,44,0,0,73,0,0,18,124,0,1,62,2,"2,162",8,68,16,4,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,2,4,2,13,0,2,0,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"5,087",0,"5,087"
Monaco,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
Netherlands,65,320,1,507,"1,569",13,0,1,"3,704",0,11,1,0,28,457,0,2,0,"1,021",30,0,24,132,9,238,4,0,532,0,0,4,47,0,15,250,306,"3,067",189,67,4,11,1,902,882,271,5,0,0,170,0,12,2,8,0,0,0,106,65,34,407,2,10,3,5,0,0,45,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"15,574",0,"15,574"
Norway,61,297,5,707,"2,261",79,0,9,"1,587",0,4,1,0,192,309,0,0,0,803,23,0,15,181,0,125,1,0,167,0,0,0,8,0,0,49,151,"1,613",198,12,1,4,0,149,201,45,2,0,0,171,0,8,0,1,0,0,0,46,40,9,111,0,75,1,155,0,0,22,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"9,921",0,"9,921"
Poland,69,308,0,664,"76,615","10,184",0,175,"3,467",0,6,0,0,7,31,0,0,0,"1,284",52,0,18,96,3,77,5,0,540,0,0,0,574,54,51,291,271,"15,972",278,185,24,16,1,242,159,29,0,0,0,487,0,6,2,41,0,0,0,59,5,20,365,2,128,7,1,0,0,128,39,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"113,043",0,"113,043"
Portugal,33,268,4,35,"1,234",158,0,206,"1,152",0,11,7,0,0,3,0,0,0,440,21,0,29,66,3,61,3,0,151,0,0,3,14,0,4,26,40,613,43,15,3,0,0,98,96,38,0,0,0,140,0,8,0,0,0,0,0,19,5,2,24,1,26,3,0,0,0,10,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"5,126",0,"5,126"
Romania,58,702,5,274,"24,859",176,0,72,"5,997",0,13,10,0,1,5,0,0,0,848,65,0,26,117,0,126,2,0,671,0,0,87,"2,752",329,11,299,104,"6,799",112,221,25,37,10,116,94,8,0,0,0,47,0,7,0,0,0,0,0,32,0,15,50,0,52,5,0,0,0,43,30,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,"45,321",0,"45,321"
Russia,215,"1,877",2,618,"66,781","5,273",0,160,"13,988",0,20,79,0,0,7,0,0,0,"2,427",175,0,346,496,3,712,2,0,"1,203",0,0,6,41,1,31,769,400,"28,580",374,"1,420",485,138,57,307,286,33,0,0,0,1,0,0,0,0,0,0,0,183,35,61,"1,957",3,528,66,1,0,0,45,10,0,0,0,0,14,0,0,2,0,0,0,0,0,0,1,1,0,"130,220",0,"130,220"
San Marino,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17
Serbia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Serbia and Montenegro,38,216,1,261,"10,307","1,724",0,7,"1,460",0,5,0,0,1,5,0,0,0,898,22,0,7,65,0,77,0,0,330,0,0,3,290,131,5,116,75,"2,126",45,60,0,47,5,22,18,13,0,0,0,0,0,0,0,0,0,0,0,18,0,4,70,3,154,7,0,0,0,16,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"18,663",0,"18,663"
Slovakia,19,288,1,139,"9,270",274,0,37,952,0,3,20,0,0,14,0,0,0,412,13,0,7,53,2,36,2,0,181,0,0,2,217,81,10,57,58,"6,207",46,19,4,3,0,75,37,2,1,0,2,15,0,3,0,3,0,0,0,10,2,2,54,1,12,4,2,0,0,18,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"18,673",0,"18,673"
Slovenia,12,95,0,95,184,5,0,1,117,0,0,0,0,13,6,0,0,0,95,2,0,9,20,0,9,0,0,31,0,0,0,16,0,0,3,17,229,21,4,0,2,0,10,1,6,0,0,0,11,0,1,0,0,0,0,0,9,1,0,7,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,039",0,"1,039"
Spain,59,381,2,500,"2,376",78,0,22,"1,295",0,14,2,0,48,211,0,1,0,"3,000",44,0,29,105,21,387,3,0,990,0,0,0,26,1,16,227,239,"4,325",517,46,2,6,0,594,532,165,0,0,1,268,0,17,1,0,0,0,0,137,17,29,254,0,314,13,84,0,0,84,40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"17,526",0,"17,526"
Sweden,46,"1,224",5,205,"1,566",131,0,14,"1,366",0,5,1,0,50,274,0,3,0,"1,971",26,0,20,96,6,206,7,0,487,0,0,0,76,0,21,174,171,"3,029",256,41,1,7,1,621,573,140,3,0,0,1,0,3,0,0,0,0,0,120,26,27,334,0,37,31,0,0,0,34,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"13,449",0,"13,449"
Switzerland,53,413,4,178,"1,530",24,0,2,399,0,6,0,0,22,228,0,0,0,"2,565",39,0,16,60,0,124,1,0,351,0,0,1,11,1,15,101,124,"1,453",170,18,6,5,0,464,364,105,3,0,0,0,0,0,1,0,0,0,0,79,17,14,68,0,9,0,2,0,0,42,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"9,101",0,"9,101"
Tajikistan,2,111,0,95,103,73,0,2,0,0,1,0,0,0,0,0,0,0,141,5,0,15,21,0,26,0,0,7,0,0,0,0,0,0,7,1,209,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0,855
Turkey,115,566,1,63,"35,340","1,510",0,22,"1,987",0,16,338,0,78,215,0,0,0,"6,290",361,0,27,110,1,90,8,0,"1,660",0,0,0,18,0,8,487,182,"6,807",451,81,3,62,5,120,96,31,0,0,0,387,0,26,0,0,0,0,0,36,2,7,35,0,204,0,0,0,0,10,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"57,878",0,"57,878"
Turkmenistan,14,78,0,72,368,8,0,0,1,0,0,0,0,0,0,0,0,0,135,9,0,15,0,0,13,0,0,3,0,0,0,0,0,0,1,0,207,10,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,0,941
Ukraine,81,435,1,675,"18,690","2,141",0,25,"8,149",0,0,24,0,0,9,0,0,0,605,52,0,31,86,0,91,3,0,329,0,0,46,172,1,22,262,82,"6,622",101,908,278,44,12,55,57,6,0,0,0,3,0,0,0,0,0,0,0,22,4,11,224,1,248,14,0,0,0,64,39,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"40,732",0,"40,732"
Uzbekistan,13,35,0,26,"2,526",93,0,5,134,0,0,1,0,0,1,0,0,0,488,37,0,6,9,0,51,2,0,35,0,0,9,22,0,0,40,1,663,33,66,25,12,2,11,27,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,43,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,"4,429",0,"4,429"
Vatican City,6,12,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Totals for Europe,"2,588","19,566",79,"12,931","511,532","40,582",0,"2,254","86,137",1,"1,612","1,697",0,"2,464","10,008",0,41,0,"50,329","1,622",0,"1,384","3,740",175,"6,808",80,0,"22,219",0,0,272,"7,789",921,662,"8,384","7,685","186,431","6,530","5,298","1,071",813,165,"18,496","16,462","3,341",57,0,5,"5,249",0,326,87,169,2,0,0,"4,240","1,720",970,"10,228",82,"3,204",360,878,80,0,"1,460",542,0,0,0,0,161,0,0,3,0,0,0,0,0,0,4,4,0,"1,072,000",0,"1,072,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,6,19,0,0,"3,065",106,0,7,27,0,2,0,0,0,0,0,0,0,87,1,0,3,0,0,3,0,0,11,0,0,0,7,0,0,7,0,20,0,3,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,390",0,"3,390"
"Bahamas, The",17,150,0,4,"12,400","1,391",0,12,101,0,53,2,0,0,0,0,0,0,"1,096",33,0,5,1,0,14,0,0,186,0,0,0,1,0,1,23,0,45,11,6,0,5,1,26,17,109,2,0,0,0,0,0,0,0,0,0,0,2,0,2,9,0,1,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,743",0,"15,743"
Barbados,29,46,0,7,"11,750",159,0,22,50,0,8,1,0,0,0,0,0,0,207,4,0,2,4,0,25,1,0,89,0,0,0,86,0,1,26,2,42,6,2,1,2,0,7,2,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,4,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,631",0,"12,631"
Belize,11,66,0,34,"4,575",859,0,253,9,0,76,0,0,0,0,0,0,0,185,5,0,1,4,0,2,0,0,35,0,0,3,55,57,0,8,0,22,1,19,6,5,2,3,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,314",0,"6,314"
Canada,202,146,2,25,127,6,0,4,19,0,0,1,0,150,"1,377",0,6,0,172,7,0,36,27,1,607,0,0,49,0,0,0,2,0,2,73,52,47,16,812,110,434,103,63,73,2,1,0,0,649,0,6,0,7,0,0,0,11,15,4,27,0,4,0,0,0,0,11,4,0,0,0,23,11,0,0,0,0,0,0,0,0,0,0,1,0,"5,527",0,"5,527"
Costa Rica,63,124,5,88,"34,689",116,0,211,516,0,49,4,0,7,10,0,0,0,354,34,0,9,3,0,108,3,0,161,0,0,2,786,409,3,80,33,651,39,62,19,17,10,241,255,11,0,0,0,0,0,0,0,0,0,0,0,5,0,1,9,2,1,7,26,0,0,33,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"39,268",0,"39,268"
Cuba,95,16,0,734,"1,771","5,231",0,12,6,2,1,0,0,0,0,0,0,0,7,0,0,134,138,0,56,0,0,2,0,0,0,8,3,0,2,17,15,1,448,190,68,35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,24,0,6,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,2,"9,046",0,"9,046"
Dominica,3,16,0,2,"1,691",40,0,32,46,0,12,0,0,0,0,0,0,0,154,6,0,0,2,0,3,2,0,19,0,0,0,1,0,0,2,1,10,3,8,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,20,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,090",0,"2,090"
Dominican Republic,36,606,30,466,"68,671",275,0,258,216,0,116,8,0,0,2,0,0,0,758,13,0,6,30,0,23,17,0,166,0,0,13,853,490,9,156,116,"2,195",26,434,154,86,59,73,131,16,0,0,0,0,0,0,0,0,0,0,0,9,4,12,709,0,18,71,0,0,0,66,63,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,"77,465",0,"77,465"
El Salvador,86,531,7,750,"11,212","4,952",0,260,188,0,859,0,0,0,2,0,0,0,316,7,0,18,13,3,57,9,0,66,0,0,6,266,184,1,44,33,164,2,102,35,39,23,24,38,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,104,0,2,0,0,0,0,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,493",0,"20,493"
Grenada,1,15,0,3,"2,446",62,0,23,85,0,6,0,0,0,0,0,0,0,118,1,0,0,0,0,9,1,0,32,0,0,0,17,0,19,4,0,10,1,7,2,6,1,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,889",0,"2,889"
Guatemala,63,211,10,79,"27,597",71,0,314,156,0,168,2,0,1,0,0,0,0,394,18,0,8,29,0,71,9,0,115,0,0,110,"2,605","2,356",4,55,19,239,27,81,23,90,47,54,67,14,2,0,0,0,0,0,0,0,0,0,0,9,2,0,69,0,1,5,0,0,0,61,59,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,"35,320",0,"35,320"
Haiti,42,138,1,76,"17,038",904,0,414,154,1,142,1,0,0,1,0,0,0,344,10,0,23,7,0,69,5,0,22,0,0,78,1,0,1,9,57,154,7,249,59,74,26,9,6,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,32,0,137,2,0,0,0,20,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"20,332",0,"20,332"
Honduras,103,341,6,150,"23,780",973,0,198,"1,866",0,57,7,0,0,1,0,0,0,444,20,0,11,6,0,29,5,0,106,0,0,3,598,328,2,53,46,161,9,112,35,73,33,14,23,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,0,29,4,0,0,0,30,29,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,6,"29,815",0,"29,815"
Jamaica,18,175,4,103,"43,183",356,0,494,"1,266",0,92,2,0,0,10,0,0,0,"1,697",114,0,13,15,0,78,6,0,516,0,0,0,"4,727","8,402",1,234,37,"1,799",118,383,99,120,57,50,32,38,0,0,0,0,0,0,0,0,0,0,0,27,153,5,322,0,607,4,0,0,0,33,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"65,405",0,"65,405"
Mexico,508,"1,105",33,"4,423","79,277","1,607","660,482","1,184","2,619",0,16,75,0,523,"1,252",0,1,0,"7,885",423,19,92,126,0,774,17,0,"2,699",0,0,"34,195","43,269","36,723",171,"2,237",847,"5,143",680,"1,228",301,"1,426",543,"2,361","2,974",244,5,0,0,5,0,0,0,0,0,0,0,387,416,180,"4,656",1,98,103,118,0,3,"1,111",399,0,0,0,"2,949","1,932",0,0,3,1,0,0,0,0,0,155,114,263,"910,381",0,"910,381"
Nicaragua,26,163,12,47,"10,869",85,0,605,580,0,54,1,0,0,1,0,0,0,147,6,0,8,9,0,52,7,0,34,0,0,146,79,142,2,18,28,176,2,79,27,40,16,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,61,0,0,3,0,0,0,25,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"13,576",0,"13,576"
Panama,30,408,15,177,"18,224",634,0,208,693,0,229,2,0,0,2,0,0,0,613,6,0,12,26,0,41,0,0,169,0,0,0,570,57,5,54,35,350,15,52,14,21,11,35,29,10,0,0,0,0,0,0,0,0,0,0,0,4,0,2,10,0,0,8,0,0,0,17,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"22,813",0,"22,813"
Saint Kitts and Nevis,3,14,0,0,"1,697",49,0,7,6,0,3,0,0,0,0,0,0,0,114,3,0,3,0,0,8,0,0,16,0,0,0,4,0,0,2,0,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,954",0,"1,954"
Saint Lucia,4,18,0,5,"4,066",122,0,10,141,0,6,0,0,0,0,0,0,0,177,3,0,4,8,0,9,0,0,26,0,0,0,54,0,0,6,1,18,0,9,0,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,703",0,"4,703"
Saint Vincent and the Grenadines,7,10,0,5,"2,434",56,0,13,492,0,6,0,0,0,0,0,0,0,75,6,0,3,1,0,7,2,0,18,0,0,0,0,0,0,6,0,15,0,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,170",0,"3,170"
Trinidad and Tobago,52,214,3,187,"38,160",247,0,349,786,0,113,0,0,0,76,0,1,0,"1,070",16,0,18,3,1,168,4,0,328,0,0,3,51,0,7,67,14,118,23,57,19,9,5,91,118,46,0,0,0,0,0,0,0,0,0,0,0,6,2,0,235,0,51,2,0,0,0,21,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"42,758",0,"42,758"
Totals for North America,"1,405","4,532",128,"7,365","418,722","18,301","660,482","4,890","10,022",3,"2,068",106,0,681,"2,734",0,8,0,"16,414",736,19,409,452,5,"2,213",88,0,"4,865",0,0,"34,559","54,040","49,151",229,"3,166","1,338","11,399",987,"4,156","1,098","2,520",972,"3,063","3,777",557,10,0,0,654,0,6,0,7,0,0,0,478,602,215,"6,438",3,968,209,144,0,3,"1,511",679,0,0,0,"2,972","1,969",0,0,5,2,1,0,0,0,0,156,118,273,"1,345,083",0,"1,345,083"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,153,"3,793",0,139,"6,552",82,0,87,"2,202",0,300,3,0,55,425,"1,918",926,0,"1,272",29,0,15,19,0,230,0,0,990,0,0,87,920,231,24,405,361,"5,235",328,192,15,39,4,"1,421","1,261",90,3,0,0,2,0,0,0,0,0,0,0,338,73,64,495,0,37,15,1,0,0,157,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"31,021",0,"31,021"
Fiji,13,73,1,11,"2,776",110,0,880,85,0,71,0,0,0,0,0,0,0,45,6,0,4,2,0,21,0,0,4,0,0,0,0,0,0,4,3,11,0,4,0,6,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,167",0,"4,167"
Kiribati,1,21,0,10,41,3,0,15,409,0,13,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,527
Marshall Islands,2,0,0,0,24,4,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52
"Micronesia, Federated States of",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Nauru,2,2,0,9,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37
New Zealand,41,580,0,116,"2,500",23,0,7,844,0,98,0,0,2,7,0,13,0,363,26,0,14,39,0,80,1,0,345,0,0,84,218,305,5,200,118,"1,638",112,33,3,6,0,329,305,11,0,0,0,0,0,0,0,0,0,0,0,81,9,18,97,3,28,3,3,0,0,84,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,816",0,"8,816"
Palau,4,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
Papua New Guinea,7,58,0,25,214,15,0,50,0,0,37,2,0,0,0,0,0,0,30,2,0,7,26,1,10,3,0,0,0,0,0,0,0,0,,0,14,2,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,513
Samoa,6,15,0,15,923,1,0,15,32,0,29,0,0,0,0,0,0,0,23,8,0,1,6,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,113",0,"1,113"
Solomon Islands,1,15,0,2,39,0,0,6,2,0,9,0,0,0,1,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,102
Tonga,18,97,4,6,"1,547",59,0,17,5,0,19,0,0,0,0,0,0,0,46,7,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,903",0,"1,903"
Tuvalu,4,8,0,1,19,2,0,3,184,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,235
Vanuatu,0,8,0,0,21,0,0,5,0,0,4,0,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49
Totals for Oceania,253,"4,673",5,334,"14,667",299,0,"1,113","3,763",0,591,5,0,57,433,"1,918",939,0,"1,787",78,0,47,114,1,348,5,0,"1,341",0,0,171,"1,138",536,29,609,482,"6,912",443,241,19,57,4,"1,756","1,577",103,3,0,0,2,0,0,0,0,0,0,0,420,82,82,592,3,71,18,4,0,0,365,53,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"48,553",0,"48,553"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,77,"1,060",9,283,"81,430",320,0,429,781,1,"1,121",1,0,23,109,0,0,0,"1,115",113,0,53,289,1,491,18,0,"1,406",0,0,3,541,3,29,892,207,"3,933",289,131,15,34,11,466,627,19,0,0,0,0,0,0,0,0,0,0,0,148,43,60,443,0,133,97,1,0,0,124,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"97,431",0,"97,431"
Bolivia,32,262,7,137,"6,288",459,0,806,102,0,123,0,0,23,2,0,0,0,439,11,0,53,53,0,215,28,0,135,0,0,10,137,0,3,70,16,280,16,39,12,12,4,29,25,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24,0,29,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,931",0,"9,931"
