Fiscal Year 2002,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Libya,0,0,0,4,93,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74,48,0,6,0,0,1,0,0,0,0,0,0,7,0,3,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,289,0,289,,,
Madagascar,34,53,1,118,228,134,0,0,60,3,0,1,43,0,0,0,0,0,0,31,2,0,33,60,0,56,3,0,13,0,0,0,0,0,1,1,0,43,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,944,,,
Malawi,19,69,1,10,674,19,0,0,3,0,0,1,0,0,0,0,0,0,0,118,16,0,18,53,0,24,2,0,13,0,0,0,0,0,0,4,0,71,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,142",0,"1,142",,,
Mali,16,29,0,143,"2,006","1,341",0,0,2,0,0,4,2,0,0,0,0,0,0,463,7,0,23,59,0,72,2,0,11,0,0,0,0,0,0,14,4,72,11,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,16,0,64,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,"4,377",0,"4,377",,,
Mauritania,22,46,6,39,405,77,0,0,0,0,0,6,0,0,0,0,0,0,0,115,1,0,21,50,0,20,2,0,2,0,0,0,0,0,0,2,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0,831,,,
Mauritius,4,38,0,10,951,89,0,0,9,59,0,1,0,0,0,0,0,0,0,60,0,0,8,22,0,21,2,0,25,0,0,0,1,0,0,13,0,30,9,0,0,1,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,369",0,"1,369",,,
Morocco,28,493,61,76,"8,426",90,0,0,21,283,0,5,127,0,0,13,0,0,0,696,15,0,20,104,0,49,29,0,106,0,0,0,1,0,0,41,81,282,23,149,2,105,2,11,17,3,1,0,0,0,0,0,0,0,0,0,0,3,0,2,25,0,0,7,39,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,22,18,0,"11,484",0,"11,484",,,
Mozambique,49,111,15,5,528,46,0,0,11,3,0,2,0,0,0,0,0,0,0,59,6,0,23,62,0,25,3,0,10,0,0,0,0,0,0,1,8,54,1,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,063",0,"1,063",,,
Namibia,5,37,1,1,429,19,0,0,0,9,0,4,1,0,0,0,0,0,0,37,2,0,15,45,0,13,0,0,4,0,0,3,1,0,0,0,0,110,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,747,,,
Niger,24,33,5,247,201,222,0,0,8,0,0,0,2,0,0,0,0,0,0,166,9,0,9,64,0,55,1,0,8,0,0,0,0,0,0,3,0,33,6,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,117",0,"1,117",,,
Nigeria,222,318,16,475,"34,559",548,0,0,86,124,0,2,22,0,0,1,0,0,0,"2,465",173,0,111,105,0,133,9,0,382,0,0,0,0,0,3,279,21,368,74,332,18,117,16,136,245,22,2,0,0,0,0,0,0,0,0,0,0,10,0,16,45,1,14,0,0,0,0,179,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,226,688,1,"42,575",0,"42,575",,,
Rwanda,8,97,0,1,448,22,0,0,4,0,0,5,0,0,0,0,0,0,0,76,17,0,8,12,0,34,3,0,5,0,0,0,0,0,0,3,0,38,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,800,,,
Sao Tome and Principe,4,21,0,2,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,,,
Senegal,82,138,6,107,"3,159",786,0,0,19,3,0,17,9,0,0,0,0,0,0,234,11,0,12,47,0,120,14,0,71,0,0,0,0,0,0,37,31,169,27,18,0,3,0,10,7,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,89,0,20,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,15,"5,301",0,"5,301",,,
Seychelles,5,3,0,4,159,24,0,0,1,6,0,1,0,0,0,0,0,0,0,5,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,1,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,229,,,
Sierra Leone,7,32,0,9,970,32,0,0,5,2,0,1,0,0,0,0,0,0,0,75,13,0,16,63,0,66,3,0,12,0,0,0,1,0,0,11,1,24,0,24,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,1,"1,415",0,"1,415",,,
Somalia,0,0,0,10,158,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,15,0,0,2,0,0,0,0,0,0,12,0,3,0,11,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,9,3,284,0,284,,,
South Africa,91,595,16,626,"30,626","3,253",0,0,505,"2,071",0,63,8,0,0,12,0,0,0,681,51,0,30,168,0,115,6,0,"1,073",0,1,"1,209",907,0,48,"1,051",58,"4,559",254,75,6,9,0,568,596,16,0,0,0,1,0,0,0,0,0,0,0,51,3,11,143,0,30,15,30,0,0,111,59,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,"49,805",0,"49,805",,,
Sudan,5,28,19,145,512,"1,032",0,0,7,0,0,1,11,0,0,1,0,0,0,58,8,0,34,95,0,92,2,0,29,0,0,0,0,0,0,40,7,7,6,9,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,"2,188",0,"2,188",,,
Swaziland,10,35,2,2,125,3,0,0,7,0,0,2,0,0,0,0,0,0,0,17,0,0,11,51,0,5,0,0,2,0,0,0,1,0,1,0,2,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,304,,,
Tanzania,52,66,4,18,"2,072",764,0,0,18,0,0,3,11,0,0,1,0,0,0,576,46,0,39,104,0,94,8,0,56,0,0,0,9,0,0,18,2,183,27,7,0,3,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"4,245",0,"4,245",,,
