Fiscal Year 2011,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Guinea-Bissau,1,3,0,0,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,40,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,132
Kenya,77,699,8,367,"9,291",788,0,0,31,115,0,28,2,0,0,2,0,0,0,0,"1,144",36,0,34,333,0,526,15,0,219,0,1,0,0,0,56,14,378,44,76,5,1,0,18,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,3,96,0,10,2,0,0,0,41,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"14,486",0,"14,486"
Lesotho,4,17,1,8,180,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,10,0,0,1,25,0,6,0,0,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,281
Liberia,41,226,0,1,"1,442",13,0,0,19,0,4,10,1,0,0,0,0,0,0,0,88,2,0,13,63,0,48,0,0,3,0,0,0,0,0,0,4,61,1,46,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2,107",0,"2,107"
Libya,49,24,0,24,"1,162",12,0,0,1,0,0,0,18,0,0,0,0,0,0,0,530,478,0,60,28,0,14,0,0,9,0,0,0,0,0,8,1,24,14,10,0,1,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,494",0,"2,494"
Madagascar,32,39,0,9,689,1,0,0,31,0,0,12,81,0,0,0,0,0,0,0,63,7,0,35,28,1,105,2,0,13,0,0,0,0,0,1,2,26,5,5,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,"1,200"
Malawi,27,90,0,4,666,3,0,0,11,1,0,13,0,0,0,0,0,0,0,0,55,8,0,8,71,0,41,1,0,9,0,0,0,0,0,0,12,84,3,4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1,126",0,"1,126"
Mali,39,118,0,187,"1,669",464,0,0,5,2,0,4,0,0,0,0,0,0,0,0,225,4,0,22,58,0,50,1,0,6,0,0,0,0,3,1,15,72,7,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,27,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,"3,039",0,"3,039"
Mauritania,22,133,0,2,498,1,0,0,2,0,0,6,2,0,0,0,0,0,0,0,42,3,0,14,55,0,32,0,0,3,0,0,0,0,0,2,1,48,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,871
Mauritius,16,35,0,7,"1,333",93,0,0,8,648,0,4,2,0,0,0,0,0,0,0,57,1,0,7,26,0,54,1,0,27,0,0,0,0,0,12,1,48,7,5,0,0,0,36,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,439",0,"2,439"
Morocco,52,819,23,143,"14,182",37,0,0,12,304,0,0,80,0,0,5,0,0,0,0,740,7,0,19,86,0,73,12,0,69,0,0,0,9,0,17,31,509,35,162,1,7,0,17,8,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23,0,18,5,47,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"17,559",0,"17,559"
Mozambique,32,44,1,3,825,2,0,0,22,2,0,1,0,0,0,0,0,0,0,0,40,0,0,20,153,0,62,1,0,3,0,0,0,0,0,2,12,73,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,313",0,"1,313"
Namibia,11,67,2,1,874,2,0,0,19,31,0,23,0,0,0,0,0,0,0,0,38,2,0,15,86,0,11,5,0,7,0,0,1,0,1,3,3,48,2,2,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,266",0,"1,266"
Niger,32,36,3,17,559,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,39,86,0,57,0,0,6,0,0,0,0,0,2,0,38,2,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,995
Nigeria,170,"1,822",6,505,"47,813","5,424",0,0,27,119,1,31,5,0,0,0,0,0,1,0,"3,377",211,0,82,553,0,394,6,0,509,0,0,0,0,36,169,83,735,123,460,24,13,2,125,180,247,1,0,0,0,0,0,0,0,0,0,0,9,2,1,36,0,72,7,0,0,0,111,6,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,"63,503",0,"63,503"
Rwanda,12,175,4,347,668,159,0,0,15,1,1,78,0,0,0,0,0,0,0,0,366,9,0,0,19,0,86,2,0,7,0,0,0,0,0,3,1,62,4,5,1,0,0,1,1,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"2,078",0,"2,078"
Sao Tome and Principe,9,24,4,0,24,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81
Senegal,46,160,3,11,"3,267",24,0,0,5,0,0,26,26,0,0,1,0,0,0,0,371,3,0,70,124,0,156,17,0,54,0,0,0,0,0,17,20,233,2,34,2,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,4,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"4,775",0,"4,775"
Seychelles,1,23,0,10,73,6,0,0,1,37,0,2,0,0,0,0,0,0,0,0,6,0,0,6,11,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,184
Sierra Leone,17,40,0,6,"1,417",119,0,0,22,0,1,13,0,0,0,0,0,0,0,0,47,8,0,14,47,0,49,0,0,11,0,0,0,0,2,6,3,31,4,74,23,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,971",0,"1,971"
Somalia,0,0,1,2,71,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,4,7,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,144
South Africa,66,745,7,184,"48,142",57,0,0,109,"2,600",0,83,1,0,1,7,0,0,1,0,728,36,0,42,292,1,204,4,0,378,0,0,"1,018","1,264",10,251,59,"2,176",75,77,13,1,0,689,370,48,11,0,0,0,0,0,0,0,0,0,0,65,18,25,138,0,53,8,34,0,0,35,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"60,152",0,"60,152"
South Sudan,8,3,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,73
Sudan,85,70,60,284,"1,292","1,550",0,0,5,0,0,0,4,0,0,0,0,0,0,0,132,8,0,74,118,0,68,0,0,19,0,0,0,0,0,11,7,88,18,19,0,3,0,5,7,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,938",0,"3,938"
Swaziland,8,25,1,0,242,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56,0,0,18,32,0,6,2,0,5,0,0,0,0,0,0,2,35,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,438
Tanzania,70,276,0,79,"3,898",14,0,0,7,284,0,5,1,0,0,0,0,0,0,0,433,26,0,57,286,1,139,2,0,48,0,0,0,0,0,16,6,209,12,23,0,1,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,928",0,"5,928"
Togo,18,56,0,12,942,76,0,0,17,0,0,0,1,0,0,0,0,0,0,0,121,5,0,7,78,0,42,0,0,7,0,0,0,0,0,1,1,33,0,23,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"1,452",0,"1,452"
Tunisia,41,206,6,14,"3,815",10,0,0,13,218,0,1,1,0,0,1,0,0,0,0,285,3,0,21,28,0,61,2,0,16,0,0,0,0,1,10,1,232,10,17,0,3,0,18,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,069",0,"5,069"
Uganda,18,137,5,12,"3,709",104,0,0,23,0,0,22,22,0,0,0,0,0,0,0,446,26,0,43,98,0,215,13,0,34,0,0,0,0,0,8,6,245,38,32,3,1,0,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,0,1,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"5,458",0,"5,458"
Zambia,25,105,2,10,"1,630",110,0,0,20,14,0,17,0,0,0,0,0,0,0,0,153,9,0,20,103,0,129,4,0,20,0,0,0,1,1,7,2,93,11,9,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,512",0,"2,512"
Zimbabwe,54,39,4,7,"3,952",20,0,0,125,0,0,2,217,0,0,0,0,0,0,0,451,23,0,64,163,0,201,3,0,102,0,0,0,2,1,39,13,163,9,9,1,0,0,46,19,11,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,12,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,769",0,"5,769"
