Fiscal Year 2011,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Lithuania,7,158,0,22,345,5,0,0,2,538,0,0,0,0,0,11,0,0,2,0,206,2,0,7,12,1,6,1,0,70,0,0,0,19,2,15,8,"1,452",10,24,5,0,0,19,20,1,0,0,0,2,0,0,0,0,0,0,0,18,2,5,9,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,017",0,"3,017"
Luxembourg,7,8,0,2,50,0,0,0,0,27,0,1,0,0,0,5,0,0,0,0,57,0,0,13,8,0,22,0,0,7,0,0,0,0,0,4,7,60,2,1,0,0,0,6,6,11,0,0,0,0,0,4,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,315
Macedonia,33,191,0,49,"3,557",6,0,0,3,527,0,0,0,0,0,3,0,0,0,0,84,1,0,9,44,0,36,0,0,26,0,0,0,7,1,5,23,"2,518",15,40,3,2,0,1,3,6,0,0,0,0,0,0,0,1,0,0,0,4,1,2,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,224",0,"7,224"
Malta,2,36,0,3,103,5,0,0,0,49,0,0,0,0,0,0,0,0,1,0,13,0,0,2,14,4,8,0,0,4,0,0,0,0,0,1,0,26,1,2,0,0,0,27,4,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,322
Moldova,4,88,0,9,"3,678",4,0,0,2,72,0,0,0,0,0,3,0,0,0,0,155,6,0,3,24,0,40,1,0,73,0,0,26,30,0,34,5,"3,807",21,55,8,1,0,9,6,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,37,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,221",0,"8,221"
Monaco,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28
Montenegro,14,61,0,2,"1,796",2,0,0,6,944,0,0,0,0,1,6,0,0,0,0,99,1,0,0,44,0,9,0,0,17,0,0,0,0,0,2,23,239,1,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,293",0,"3,293"
Netherlands,63,426,1,56,"1,704",11,0,0,2,"3,816",0,3,0,0,4,272,0,0,9,0,"1,367",29,0,13,152,12,269,5,0,437,0,0,2,18,13,168,175,"2,991",184,98,5,0,0,907,960,319,2,0,0,206,0,16,1,17,0,0,0,135,84,19,301,1,13,5,0,0,0,8,8,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,"15,316",0,"15,316"
Norway,55,283,1,373,"1,604",41,0,0,1,941,0,0,0,0,277,166,0,0,7,0,"2,387",43,0,18,198,0,113,0,0,98,0,0,0,1,6,52,144,"2,103",239,31,5,0,0,195,219,159,11,0,0,169,0,1,0,0,1,0,0,59,24,5,249,0,16,3,119,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,432",0,"10,432"
Poland,59,371,0,324,"61,833",85,0,0,282,"2,836",0,16,6,0,8,48,0,0,0,0,797,15,0,24,63,3,68,4,0,372,0,0,1,34,27,140,184,"4,210",201,96,14,0,0,300,270,29,1,0,1,446,0,7,2,21,0,0,0,57,15,12,540,0,66,4,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,"73,929",0,"73,929"
Portugal,27,104,1,107,954,19,0,0,23,"1,205",0,6,1,0,1,8,0,0,1,0,576,13,0,13,53,2,76,0,0,192,0,0,0,3,5,49,60,695,51,25,2,0,0,199,151,40,0,0,4,91,0,2,0,0,0,0,0,47,28,3,49,1,3,3,2,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,906",0,"4,906"
Romania,70,295,2,163,"20,638",49,0,0,68,"4,694",0,4,3,0,0,29,0,0,0,0,403,26,0,16,87,0,119,2,0,411,0,0,165,281,8,122,78,"4,085",77,157,10,4,0,143,86,12,0,0,0,177,0,6,1,1,0,0,0,31,0,8,36,1,40,5,0,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,627",0,"32,627"
Russia,292,"2,330",1,119,"158,454",376,0,0,122,"16,315",0,10,9,0,3,16,0,0,3,0,"5,239",190,0,322,363,0,729,1,0,883,0,0,0,8,30,642,587,"12,846",252,630,160,4,1,508,498,49,3,0,0,0,0,0,0,0,0,0,0,180,18,35,"1,604",0,327,52,1,0,0,76,21,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,"204,315",0,"204,315"
San Marino,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17
Serbia  ,18,265,0,10,"11,800",9,0,0,14,"1,574",0,3,0,0,0,0,0,0,0,0,693,11,0,6,50,0,91,0,0,224,0,0,0,180,0,68,51,"2,678",36,42,3,0,0,65,48,1,0,0,0,1,0,0,0,0,0,0,0,40,3,6,28,0,91,8,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,123",,"18,123"
Serbia and Montenegro,0,5,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,118
Slovakia,17,141,0,8,732,7,0,0,3,528,0,1,3,0,0,16,0,0,0,0,425,4,0,6,53,0,34,1,0,114,0,0,0,30,0,31,20,"2,697",32,21,0,0,0,103,67,7,0,0,0,10,0,0,0,1,0,0,0,19,3,0,61,1,0,3,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,211",0,"5,211"
Slovenia,6,59,1,31,117,1,0,0,0,181,0,5,0,0,9,13,0,0,0,0,93,0,0,7,26,1,7,0,0,22,0,0,0,8,0,9,6,227,21,2,0,0,0,12,17,10,0,0,0,97,0,0,1,1,0,0,0,12,2,1,56,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,083",0,"1,083"
Spain,69,374,1,509,"3,881",95,0,0,14,"2,419",0,14,6,0,30,758,0,0,2,0,"4,650",129,0,32,89,21,580,1,0,962,0,0,0,7,31,358,287,"6,199",713,73,9,3,0,"1,078","1,088",156,2,0,0,192,0,6,2,8,0,1,0,223,59,78,376,0,192,23,28,0,0,39,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,880",0,"25,880"
Sweden,33,"1,016",2,177,"1,061",98,0,0,3,994,0,5,1,0,24,350,0,0,5,0,"2,684",45,0,13,132,8,181,2,0,339,0,0,0,5,10,139,181,"3,101",244,58,0,1,0,585,653,182,3,0,0,1,0,0,0,0,0,0,0,195,74,73,308,0,15,10,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,034",0,"13,034"
Switzerland,25,355,0,139,"3,972",27,0,0,2,"1,711",0,2,2,0,8,166,0,0,0,0,"3,697",22,0,23,25,0,196,1,0,268,0,0,0,1,16,89,92,"1,601",156,21,3,0,0,402,298,198,7,0,0,0,0,0,0,0,0,0,0,85,14,16,109,0,0,3,0,0,0,18,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,777",0,"13,777"
Tajikistan,7,137,0,14,504,334,0,0,6,0,0,0,1,0,0,0,0,0,0,0,349,11,0,25,19,0,68,0,0,8,0,0,0,0,0,2,8,512,32,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,045",0,"2,045"
Turkey,144,"1,214",10,34,"63,444",198,0,0,10,"4,081",0,72,3,0,61,221,0,0,1,0,"6,833",449,0,27,184,0,132,4,0,"1,332",0,0,0,24,8,454,157,"10,725","1,002",93,5,0,0,129,103,164,15,0,0,490,0,55,1,9,0,0,0,37,5,7,35,0,8,2,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"91,992",0,"91,992"
Turkmenistan,16,71,0,28,531,7,0,0,2,11,0,0,0,0,0,0,0,0,0,0,125,11,0,12,10,0,31,0,0,24,0,0,0,0,0,23,10,318,7,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,243",0,"1,243"
Ukraine,64,410,0,188,"25,455",868,0,0,22,"10,461",0,5,3,0,1,16,0,0,1,0,747,41,0,30,62,0,139,0,0,352,0,0,37,20,2,311,79,"9,223",87,673,178,1,0,95,75,27,0,0,0,2,0,0,0,0,0,0,0,47,3,15,182,0,103,21,0,0,0,20,14,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,"50,086",0,"50,086"
Uzbekistan,17,112,0,20,"4,125",11,0,0,0,330,0,0,0,0,0,1,0,0,0,0,249,38,0,10,28,0,93,4,0,48,0,0,0,0,0,39,3,524,37,49,13,0,0,11,11,1,0,0,0,0,0,0,0,0,0,0,0,7,0,5,6,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"5,812",0,"5,812"
Vatican City,5,15,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Europe,"2,475","19,031",61,"5,300","480,783","5,309",0,0,868,"92,621",1,453,164,0,"2,411","10,103",0,0,118,0,"64,229","1,804",0,"1,159","3,623",191,"8,088",60,0,"17,771",0,0,326,"2,104",389,"7,096","6,702","170,817","7,319","4,445",554,34,1,"19,371","18,122","3,929",106,0,16,"5,624",1,249,85,520,1,1,0,"5,290","2,460","1,103","10,822",102,"2,139",304,897,0,0,667,177,1,0,0,0,74,0,0,2,1,2,7,0,6,0,0,0,0,0,"988,489",0,"988,489"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,5,17,0,0,"1,519",471,0,0,5,12,0,1,0,0,0,0,0,0,0,0,86,1,0,3,0,0,11,0,0,10,0,0,0,3,0,1,0,31,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2,190",0,"2,190"
"Bahamas, The",31,92,1,2,"9,821",1,0,0,5,129,0,28,1,0,0,0,0,0,0,0,"1,056",25,0,8,2,0,13,0,0,142,0,0,0,0,0,18,0,36,2,8,3,1,0,17,11,53,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,520",0,"11,520"
Barbados,16,43,0,1,"7,089","1,643",0,0,16,29,0,2,0,0,0,2,0,0,0,0,131,1,0,3,1,0,22,0,0,58,0,0,0,1,1,12,1,72,4,6,1,0,0,8,1,9,0,0,0,0,0,0,0,0,0,0,0,3,2,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"9,207",0,"9,207"
Belize,8,69,0,2,"3,406",7,0,0,136,6,0,161,0,0,0,0,0,0,0,0,145,4,0,1,0,0,14,1,0,25,0,0,5,77,0,11,1,35,2,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,"4,140",0,"4,140"
Canada,264,140,0,38,233,6,0,0,0,21,0,0,3,0,225,"1,920",0,0,19,0,349,16,0,45,17,2,719,2,0,88,0,0,0,2,3,141,35,105,39,654,73,10,2,83,151,14,0,0,0,859,0,3,6,16,0,0,0,22,24,1,28,0,1,2,0,0,0,18,8,0,0,0,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,477",0,"6,477"
Costa Rica,39,144,2,3,"38,593",23,0,0,124,297,0,48,0,0,6,3,0,0,0,0,428,21,0,11,7,0,100,6,0,122,0,0,80,300,1,51,29,467,35,85,29,6,5,169,135,22,2,0,0,0,0,0,0,0,0,0,0,9,0,6,10,0,0,3,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,"41,432",0,"41,432"
Cuba,101,58,0,"1,017","2,364","13,975",0,0,8,8,0,0,1,0,0,0,0,0,0,0,17,1,0,114,64,0,60,0,0,3,0,0,0,0,0,1,9,40,7,305,65,0,0,5,6,1,0,0,0,1,0,0,0,0,0,0,0,5,12,2,426,0,212,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,892",0,"18,892"
Dominica,2,10,0,1,"1,038",172,0,0,11,88,0,4,0,0,0,0,0,0,0,0,63,0,0,0,1,0,8,0,0,15,0,0,0,0,0,3,0,15,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,465",0,"1,465"
Dominican Republic,20,456,14,620,"55,500","2,296",0,0,293,431,0,72,6,0,1,0,0,0,0,0,586,8,0,8,9,0,59,12,0,186,0,0,51,151,0,130,122,"1,085",34,845,226,11,10,63,112,22,2,0,0,0,0,0,0,0,0,0,0,18,9,15,"1,611",0,5,74,0,0,0,33,10,0,0,0,0,2,0,2,7,0,0,2,1,31,0,0,0,0,0,"65,261",0,"65,261"
El Salvador,69,533,4,721,"20,577","3,912",0,0,141,289,0,210,0,0,0,1,0,0,0,0,286,7,0,12,14,2,79,7,0,87,0,0,15,448,1,35,27,262,10,117,37,13,7,29,32,5,0,0,0,0,0,0,0,0,0,0,0,2,0,5,89,0,10,1,0,0,0,20,3,0,0,0,0,0,0,0,14,0,0,2,8,200,0,14,0,0,0,"28,357",0,"28,357"
Grenada,0,13,0,1,"1,750",341,0,0,9,22,0,2,0,0,0,0,0,0,0,0,73,2,0,2,1,0,8,0,0,24,0,0,0,0,0,2,0,19,4,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,288",0,"2,288"
Guatemala,37,201,6,169,"51,101",58,0,0,84,176,0,200,0,0,0,1,0,0,0,0,403,19,0,3,7,0,132,3,0,83,0,0,624,"2,907",0,68,39,325,29,85,27,10,2,36,60,18,0,0,0,0,0,0,0,0,0,0,0,9,0,2,162,0,1,0,0,0,0,32,12,0,0,0,0,5,0,0,5,0,0,18,11,197,14,20,0,0,0,"57,401",0,"57,401"
Haiti,72,90,4,21,"21,674",57,0,0,365,350,0,204,0,0,0,0,0,0,0,0,323,3,0,17,33,0,77,2,0,30,0,0,0,0,0,21,30,194,6,591,148,4,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,154,0,9,0,0,11,6,0,0,0,0,1,0,2,9,2,3,0,1,8,0,0,0,0,0,"24,550",0,"24,550"
Honduras,55,453,9,236,"23,311","5,465",0,0,270,"1,532",0,35,9,0,2,34,0,0,0,0,580,17,0,13,4,0,79,5,0,111,0,0,20,252,1,49,16,267,9,54,11,4,2,30,43,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,103,0,0,1,0,0,0,15,4,0,0,0,0,2,0,0,12,1,3,4,1,113,3,9,0,0,0,"33,259",0,"33,259"
Jamaica,15,192,6,196,"34,324","1,202",0,0,345,"1,737",0,135,2,0,0,6,0,0,0,0,984,33,0,8,14,0,74,1,0,362,0,1,2,"4,874",1,132,30,"3,829",58,268,54,4,1,24,46,18,0,0,0,0,0,0,0,0,0,0,0,38,168,0,185,6,71,0,0,0,0,13,11,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,"49,485",0,"49,485"
Mexico,502,"2,627",31,"3,987","21,261","1,832","684,198","458,902",379,"2,625",0,17,22,0,809,"2,076",0,0,2,0,"8,464",972,959,127,132,0,878,22,0,"2,647",0,0,"51,927","36,179",227,"2,330",799,"6,735",425,"1,165",224,181,31,"3,126","4,449",303,60,1,0,7,0,0,0,0,0,0,0,314,475,95,"3,396",1,100,74,149,0,0,359,88,0,0,0,"4,918","3,131",0,0,3,4,4,66,19,244,10,26,0,0,0,"1,315,116",0,"1,315,116"
Nicaragua,35,111,6,261,"12,159",54,0,0,620,663,0,83,0,0,1,0,0,0,0,0,160,7,0,1,21,0,55,6,0,29,0,0,240,77,0,12,26,204,11,84,8,5,3,4,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86,0,0,4,0,0,0,10,7,0,0,0,0,1,0,0,2,0,0,2,2,19,0,0,0,0,0,"15,089",0,"15,089"
Panama,25,526,3,136,"20,150","1,694",0,0,50,833,0,175,0,0,0,4,0,0,0,0,535,2,0,7,37,1,38,2,0,79,0,0,1,56,4,26,32,259,14,43,8,3,3,21,20,43,0,0,0,0,0,0,0,0,0,0,0,4,5,1,54,0,0,6,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"24,913",0,"24,913"
Saint Kitts and Nevis,6,22,0,0,"1,099",283,0,0,13,7,0,6,0,0,0,0,0,0,0,0,73,2,0,0,1,0,13,0,0,9,0,0,0,0,0,1,0,7,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,550",0,"1,550"
Saint Lucia,2,28,0,4,"2,317",460,0,0,12,290,0,11,0,0,0,0,0,0,0,0,119,5,0,5,1,0,11,0,0,27,0,0,0,0,0,1,1,25,0,5,1,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"3,343",0,"3,343"
Saint Vincent and the Grenadines,4,23,0,14,"1,471",277,0,0,7,63,0,3,0,0,0,0,0,0,0,0,42,0,0,2,1,0,6,0,0,11,0,0,0,0,0,3,0,9,1,5,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,949",0,"1,949"
Trinidad and Tobago,52,126,4,39,"28,953",50,0,0,124,395,0,58,0,0,0,27,0,0,0,0,558,11,0,6,28,0,162,4,0,243,0,0,0,0,11,54,12,143,16,42,2,0,0,101,86,46,0,0,0,0,0,0,0,0,0,0,0,12,18,2,201,0,49,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,645",0,"31,645"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for North America,"1,360","5,974",90,"7,469","359,710","34,279","684,198","458,902","3,017","10,003",0,"1,455",44,0,"1,044","4,074",0,0,21,0,"15,461","1,157",959,396,395,5,"2,618",73,0,"4,391",0,1,"52,965","45,327",250,"3,102","1,209","14,164",708,"4,379",918,252,68,"3,728","5,166",596,64,1,0,867,0,3,6,16,0,0,0,442,713,131,"6,438",7,608,170,158,0,0,541,155,0,0,0,"4,971","3,164",0,4,52,7,10,95,44,838,27,69,0,0,0,"1,749,529",0,"1,749,529"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,109,"4,349",0,59,"8,294",25,0,0,17,"1,944",0,516,0,0,27,378,0,"2,546","1,385",733,"1,891",51,0,40,99,0,287,1,0,537,0,0,31,180,10,228,366,"5,206",320,237,12,0,0,"1,261","1,164",231,30,0,0,2,0,0,0,0,0,0,0,456,222,73,746,0,36,30,1,0,0,77,16,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,"34,230",0,"34,230"
Fiji,12,44,1,12,"2,320",15,0,0,303,67,0,15,0,0,0,0,0,0,0,0,22,1,0,2,11,1,55,2,0,9,0,0,0,0,0,5,4,44,3,10,1,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"3,002",0,"3,002"
Kiribati,6,40,0,5,60,1,0,0,16,339,0,33,0,0,0,0,0,0,0,0,4,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,562
Marshall Islands,9,0,0,0,44,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,103
"Micronesia, Federated States of",11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
Nauru,1,7,0,2,13,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40
New Zealand,29,679,0,137,"2,120",14,0,0,2,673,0,270,1,0,0,5,0,0,29,0,497,34,0,12,37,0,103,0,0,290,0,0,110,139,1,139,108,"1,636",59,71,4,0,0,290,221,54,12,0,0,0,0,0,0,0,0,2,0,102,31,26,153,0,8,13,0,0,0,53,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,171",0,"8,171"
Palau,3,5,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
Papua New Guinea,16,116,0,5,467,2,0,0,48,0,0,34,6,0,0,0,0,0,0,0,49,2,0,6,27,2,13,1,0,0,0,0,0,0,0,0,0,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0,831
Samoa,7,14,0,53,357,123,0,0,6,39,0,19,0,0,0,0,0,0,0,0,8,0,0,2,8,0,7,1,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,728
Solomon Islands,2,21,0,1,52,0,0,0,34,5,0,13,0,0,0,0,0,0,0,0,1,1,0,0,16,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,159
Tonga,15,93,9,24,679,21,0,0,19,0,0,63,0,0,0,0,0,0,0,0,6,1,0,3,4,1,1,1,0,0,0,0,0,0,0,0,0,41,13,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,083",0,"1,083"
Tuvalu,7,15,0,0,16,0,0,0,8,44,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,116
Vanuatu,1,16,0,0,44,1,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,17,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,123
